,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
1133,nilotinib,oral  solid  capsule,150 mg; 200 mg,L01EA03,WHO,,
1134,nilutamide,,,,WHO,,
1135,nitrofurantoin,oral  liquid,25 mg per 5 mL oral liquid,J01XE01,WHO,,
1136,nitrous oxide,respiratory  inhalation,,N01AX13,WHO,,
1137,nivolumab,parenteral  general injections  iv,10 mg per  mL concentrate solution for infusion,L01FF01,WHO,,
1139,norethisterone,oral  solid,350 µg,G03AC01,WHO,,
1142,norethisterone enantate,parenteral  general injections  im,200 mg per  mL in 1 mL ampoule oily solution,G03AC01,WHO,,
1143,normal immunoglobulin,parenteral  general injections  iv,5% protein solution; 10% protein solution,J06BA02,WHO,,
1146,nystatin,oral  liquid,100000 iu per  mL,A07AA02,WHO,,
1147,ocrelizumab,parenteral  general injections  iv,30 mg per  mL in 10 mL vial,L04AG08,WHO,,
1149,octreotide,parenteral  general injections  im,"20 mg in vial (modified-release, as acetate) plus diluent",H01CB02,WHO,,
1150,ofloxacin,oral  solid,200 mg; 400 mg,J01MA01,WHO,,
1154,olanzapine,,,,WHO,,
1156,omadacycline,parenteral  general injections  iv,100 mg lyophilized powder for injection,J01AA15,WHO,,
1157,ombitasvir + paritaprevir + ritonavir,oral  solid,12.5 mg + 75 mg + 50 mg tablet,J05AP53,WHO,,
1158,omeprazole,parenteral  general injections  iv,40 mg in vial,A02BC01,WHO,,
1161,ondansetron,parenteral  general injections  iv,"2 mg per  mL in 2 mL ampoule (ondansetron base, as hydrochloride)",A04AA01,WHO,,
1163,oral rehydration salts,"powder for dilution in 200 ml, 500 ml, 1 l",,A07CA,WHO,,
1165,oral rehydration salts - zinc sulfate,oral  other,ors powder for dilution and zinc sulfate solid oral dosage form 20 mg (co-packaged),A07CA,WHO,,
1166,oseltamivir,oral  solid,30 mg capsule (as phosphate); 45 mg capsule (as phosphate); 75 mg capsule (as phosphate),J05AH02,WHO,,
1167,osimertinib,oral  solid,40 mg (as mesylate); 80 mg (as mesylate),L01EB04,WHO,,
1168,oxaliplatin,parenteral  general injections  iv,50 mg in vial powder for injection; 100 mg in vial powder for injection; 50 mg per 10 mL in 10 mL vial; 100 mg per 20 mL in 20 mL vial; 200 mg per 40 mL in 40 mL vial,L01XA03,WHO,,
1170,oxamniquine,oral  liquid,250 mg per 5 mL,P02BA02,WHO,,
1171,oxazolindinones,.,,,WHO,,
1172,oxycodone,,,,WHO,,
1173,oxygen,respiratory  inhalation,(medical gas),V03AN01,WHO,,
1175,oxytetracycline,,,,WHO,,
1179,oxytocin,parenteral  general injections  unspecified,10 iu per  mL,H01BB02,WHO,,
1180,p-aminosalicylate sodium,oral  liquid,5.52 g in sachet (equivalent to 4 g p-aminosalicylic acid) powder for oral solution,J04AA01,WHO,,
1181,p-aminosalicylic acid,oral  solid,4 g granules in sachet,J04AA01,WHO,,
1182,paclitaxel,parenteral  general injections  iv,6 mg per  mL,L01CD01,WHO,,
1190,palbociclib,oral  solid,75 mg; 100 mg; 125 mg,L01EF01,WHO,,
1191,paliperidone,,,,WHO,,
1193,palonosetron,,,,WHO,,
1195,pancreatic enzymes,capsule (modified release),10 000 lipase units + 8000 amylase units + 600 protease units; 25 000 lipase units + 18 000 amylase units + 1000 protease units.,A09AA02,WHO,,
1196,paracetamol (acetaminophen),oral  liquid,125 mg per 5 mL; 120 mg per 5 mL; 250 mg per 5 mL,N02BE01,WHO,,
1198,paromomycin,parenteral  general injections  im,750 mg paromomycin base (as sulfate),A07AA06,WHO,,
1200,pegaspargase,parenteral  general injections  iv,3750 units per 5 mL in vial; 3750 units in vial powder for injection,L01XX24,WHO,,
1201,pegfilgrastim,parenteral  general injections  sc,6 mg per 0.6 mL in pre-filled syringe,L03AA13,WHO,,
1202,pegylated interferon alfa (2a),parenteral  general injections  sc,180 µg in vial; 180 µg in prefilled syringe,L03AB11,WHO,,
1203,pegylated interferon alfa (2b),parenteral  general injections  sc,80 µg in prefilled syringe; 100 µg in prefilled syringe,L03AB10,WHO,,
1204,pembrolizumab,,,,WHO,,
1206,penicillamine,oral  solid,250 mg,M01CC01,WHO,,
1208,pentamidine,parenteral  general injections  im,200 mg (as isetionate); 300 mg (as isetionate),P01CX01,WHO,,
1211,permethrin,local  topical  lotion,1%,P03AC04,WHO,,
1214,pertussis vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AJ02,WHO,,
1215,pertuzumab,parenteral  general injections  iv,240 mg per 14 mL in vial concentrated solution,L01FD02,WHO,,
1216,phenelzine,oral  solid  dosage form,15 mg (as sulfate),N06AF03,WHO,,
1217,phenobarbital,parenteral  general injections  iv,200 mg per  mL (phenobarbital sodium); 30 mg per  mL (phenobarbital sodium); 60 mg per  mL (phenobarbital sodium),N03AA02,WHO,,
1219,phenoxymethylpenicillin,oral  liquid,250 mg per 5 mL (as potassium salt) powder for oral liquid,J01CE02,WHO,,
1223,phenytoin,oral  liquid,30 mg per 5 mL (phenytoin),N03AB02,WHO,,
1224,phosphorus,oral  other,500 mg in sachet (elemental phosphorus) granules,V03AG05,WHO,,
1225,phytomenadione,parenteral  general injections  iv,10 mg per  mL in ampoule; 1 mg per  mL in ampoule,B02BA01,WHO,,
1227,pilocarpine,local  ophthalmological  solution (eye drops),2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate),S01EB01,WHO,,
1230,piperacillin + tazobactam,parenteral  general injections  iv,2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection,J01CR05,WHO,,
1235,platelets,parenteral  general injections  iv,,B05AX02,WHO,,
1236,plazomicin,parenteral  general injections  iv,500 mg per 10 mL,J01GB14,WHO,,
1239,pneumococcal vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AL01,WHO,,
1240,podophyllotoxin,,,,WHO,,
1242,podophyllum resin,local  topical  solution,10 to 25%,D06BB04,WHO,,
1244,poliomyelitis vaccine,all vaccines should comply with the who requirements for biological substances.,,"J07BF01, J07BF02, J07BF03, J07BF04",WHO,,
1245,polygeline,parenteral  general injections  iv,3.5% injectable solution,,WHO,,
1247,polymyxin B (injection),parenteral  general injections  iv,500000 iu in vial powder for injection (equivalent to 50 mg polymyxin b base),J01XB02,WHO,,
1250,polymyxins,.,,,WHO,,
1251,potassium chloride,oral  liquid,powder for solution,A12BA01,WHO,,
1253,potassium ferric hexacyanoferrate (Prussian blue),oral  solid,powder for oral administration,V03AB31,WHO,,
1254,potassium iodide,local  topical  solution,saturated solution,D08AG03,WHO,,
1256,potassium permanganate,local  topical  solution,aqueous solution: 1:10 000,D08AX06,WHO,,
1260,povidone iodine,local  topical  solution,10% (equivalent to 1% available iodine),D08AG02,WHO,,
1261,pralidoxime,.,,V03AB04,WHO,,
1262,pramipexole,oral  solid,125 µg immediate-release; 250 mg immediate-release; 500 µg immediate-release; 750 µg immediate-release; 1 mg immediate-release; 1.5 mg immediate-release; 375 µg extended-release; 750 µg extended-release; 1.5 mg extended-release; 2.25 mg extended-release; 3 mg extended-release; 3.75 mg extended-release; 4.5 extended-release,N04BC05,WHO,,
1263,pravastatin,,,,WHO,,
1265,praziquantel,oral  solid  tablet,600 mg (scored); 500 mg; 150 mg,P02BA01,WHO,,
1274,precipitated sulfur,local  topical  ointment,,,WHO,,
1278,prednisolone,oral  liquid,5 mg per  mL,H02AB06,WHO,,
1296,prednisone,,,,WHO,,
1307,pretomanid,oral  solid  tablet,200 mg,J04AK08,WHO,,
1308,primaquine,oral  solid,7.5 mg tablet (as phosphate); 15 mg tablet (as phosphate),P01BA03,WHO,,
1310,probenecid,oral  solid,500 mg,M04AB01,WHO,,
1311,procainamide,parenteral  general injections  iv,100 mg per  mL in 10 mL ampoule (hydrochloride),C01BA02,WHO,,
1312,procaine benzylpenicillin,parenteral  general injections  im,1 g in vial (=1 million iu) powder for injection; 3 g in vial (=3 million iu) powder for injection,J01CE09,WHO,,
1314,procarbazine,oral  solid,50 mg (as hydrochloride),L01XB01,WHO,,
1316,progesterone vaginal ring,local  vaginal  vaginal ring,2.074 g micronized progesterone,G03DA04,WHO,,
1317,proguanil,oral  solid,100 mg tablet (hydrochloride),P01BB01,WHO,,
1318,promethazine,oral  liquid,5 mg per 5 mL (hydrochloride),R06AD02,WHO,,
1319,propanol,,,,WHO,,
1320,propofol,parenteral  general injections  iv,10 mg per  mL; 20 mg per  mL,N01AX10,WHO,,
1321,propranolol,oral  solid,80 mg tablet (hydrochloride); 40 mg tablet (hydrochloride),C07AA05,WHO,,
1325,propylthiouracil,oral  solid,50 mg,H03BA02,WHO,,
1326,protamine sulfate,parenteral  general injections  iv,10 mg per  mL in 5 mL ampoule,V03AB14,WHO,,
1327,protionamide,,,,WHO,,
1328,pyrantel,oral  solid  tablet,250 mg (chewable) (as embonate or pamoate),P02CC01,WHO,,
1332,pyrazinamide,oral  solid  dispersible tablet,150 mg,J04AK01,WHO,,
1333,pyridostigmine,parenteral  general injections  iv,1 mg in 1 mL ampoule (pyridostigmine bromide),N07AA02,WHO,,
1334,pyridoxine,oral  solid,25 mg (hydrochloride),A11HA02,WHO,,
1337,pyrimethamine,oral  solid,25 mg,P01BD01,WHO,,
1338,quetiapine,,,,WHO,,
1340,quinidine,oral  solid,200 mg (sulfate),C01BA01,WHO,,
1341,quinine,parenteral  general injections  iv,300 mg per  mL in 2 mL ampoule (quinine hydrochloride),P01BC01,WHO,,
1342,rabies vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BG01,WHO,,
1343,raltegravir,oral  liquid,100 mg granules for oral suspension,J05AJ01,WHO,,
1344,ranibizumab,.,,S01LA04,WHO,,
1348,ranitidine,oral  liquid,75 mg per 5 mL (as hydrochloride),A02BA02,WHO,,
1350,rasburicase,parenteral  general injections  iv,1.5 mg in vial powder and solvent for solution; 7.5 mg in vial powder and solvent for solution,V03AF07,WHO,,
1351,ravidasvir,oral  solid  tablet,200 mg,J05AP13,WHO,,
1352,ready to use therapeutic food,biscuit or paste of nutritional composition as determined by the un joint statement on the community-based management of severe acute malnutrition and codex alimentarius guidelines.,,,WHO,,
1353,realgar-indigo naturalis formulation,oral  solid,270 mg (containing tetra-arsenic tetra-sulfide 30 mg),,WHO,,
1354,red blood cells,parenteral  general injections  iv,,B05AX01,WHO,,
1355,resin-based composite (high-viscosity),local  topical  other,single-use capsule or multi-use syringe,,WHO,,
1356,resin-based composite (low-viscosity),local  topical  other,single-use applicator or multi-use bottle,,WHO,,
1357,retinol,parenteral  general injections  im,100000 iu in 2 mL ampoule (as palmitate) water-miscible injection,A11CA01,WHO,,
1358,ribavirin,parenteral  general injections  iv,1000 mg per 10 mL phosphate buffer solution; 800 mg per 10 mL phosphate buffer solution,J05AP01,WHO,,
1360,ribociclib,,,,WHO,,
1361,riboflavin,oral  solid,5 mg,A11HA04,WHO,,
1362,rifabutin,oral  solid,150 mg,J04AB04,WHO,,
1363,rifampicin,oral  liquid,20 mg per  mL,J04AB02,WHO,,
1366,rifapentine,oral  solid  tablet,150 mg; 300 mg,J04AB05,WHO,,
1368,risdiplam,oral  liquid,0.75 mg per  mL powder for oral liquid,M09AX10,WHO,,
1369,risperidone,oral  solid,0.25 mg; 0.5 mg; 1 mg; 2 mg; 3 mg; 4 mg; 6 mg,N05AX08,WHO,,
1371,ritonavir,oral  solid,25 mg tablet (heat stable); 100 mg tablet (heat stable),J05AE03,WHO,,
1372,rituximab,parenteral  general injections  iv,100 mg per 10 mL in 10 mL vial; 500 mg per 50 mL in 50 mL vial,L01FA01,WHO,,
1377,rivaroxaban,,,,WHO,,
1379,ropinirole,oral  solid,0.25 mg immediate-release; 0.5 mg immediate-release; 1 mg immediate-release; 2 immediate-release; 3 mg immediate-release; 4 mg immediate-release; 5 mg immediate-release; 2 mg extended-release; 4 mg extended-release; 6 mg extended-release; 8 mg extended-release; 12 mg extended-release,N04BC04,WHO,,
1380,rotavirus vaccine,all vaccines should comply with the who requirements for biological substances.,,"J07BH01, J07BH02",WHO,,
1381,rubella vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BJ01,WHO,,
1382,salbutamol,parenteral  general injections  iv,50 µg per  mL in 5 mL ampoule (as sulfate),R03AC02,WHO,,
1384,salicylic acid,local  topical  solution,5%,D01AE12,WHO,,
1387,saquinavir,oral  solid,200 mg; 500 mg,J05AE01,WHO,,
1388,selenium sulfide,local  topical  suspension,2% detergent-based,D01AE13,WHO,,
1390,senna,oral  liquid,7.5 mg per 5 mL oral liquid,A06AB06,WHO,,
1392,sevoflurane,respiratory  inhalation  liquid,,N01AB08,WHO,,
1393,silver diamine fluoride,local  dental  solution,38% w/v,,WHO,,
1394,silver nitrate,local  ophthalmological  solution (eye drops),1%,D08AL01,WHO,,
1395,silver sulfadiazine,local  topical  cream,1%,D06BA01,WHO,,
1396,simeprevir,oral  solid,150 mg,J05AP05,WHO,,
1397,simvastatin,oral  solid,5 mg; 10 mg; 20 mg; 40 mg,C10AA01,WHO,,
1400,smallpox vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BX01,WHO,,
1401,snake antivenom,.,,J06AA03,WHO,,
1402,sodium calcium edetate,parenteral  general injections  iv,200 mg per  mL in 5 mL ampoule,V03AB03,WHO,,
1403,sodium chloride,parenteral  general injections  iv,0.9% isotonic (equivalent to na+ 154 mmol/l and cl- 154 mmol/l),B05XA03,WHO,,
1404,sodium hyaluronate,,,,WHO,,
1405,sodium hydrogen carbonate,parenteral  general injections  iv,1.4% isotonic (equivalent to na+ 167 mmol/l and hco3- 167 mmol/l); 8.4% in 10 mL ampoule (equivalent to na+ 1000 mmol/l and hco3- 1000 mmol/l),B05XA02,WHO,,
1406,sodium nitrite,parenteral  general injections  iv,30 mg per  mL in 10 mL ampoule,V03AB08,WHO,,
1407,sodium nitroprusside,parenteral  general injections  iv,50 mg in ampoule powder for infusion,C02DD01,WHO,,
1408,sodium stibogluconate,parenteral  general injections  unspecified,100 mg per  mL in 30 mL vial,P01CB02,WHO,,
1411,sodium thiosulfate,local  topical  solution,15%,V03AB06,WHO,,
1413,sofosbuvir,oral  solid  tablet,200 mg; 400 mg,J05AP08,WHO,,
1414,sofosbuvir + velpatasvir,oral  solid  tablet,200 mg + 50 mg; 400 mg + 100 mg,J05AP55,WHO,,
1415,somatropin,parenteral  general injections  sc,5 mg in cartridge powder for injection; 5 mg per  mL in 2 mL cartridge,H01AC01,WHO,,
1416,spectinomycin,parenteral  general injections  unspecified,2 g in vial (as hydrochloride) powder for injection,J01XX04,WHO,,
1418,spironolactone,oral  solid  tablet,25 mg,C03DA01,WHO,,
1421,stavudine,oral  liquid,5 mg per 5 mL powder for oral solution,J05AF04,WHO,,
1422,streptokinase,parenteral  general injections  iv,1.5 million iu in vial powder for injection,B01AD01,WHO,,
1423,streptomycin (injection),parenteral  general injections  iv,1 g powder for injection (as sulfate) as vial,J01GA01,WHO,,
1424,succimer,oral  solid,100 mg,,WHO,,
1425,sulfacetamide,local  ophthalmological  ointment,10% (sodium salt),S01AB04,WHO,,
1426,sulfadiazine,oral  solid,500 mg,J01EC02,WHO,,
1428,sulfadimidine,oral  liquid,500 mg per 5 mL,J01EB03,WHO,,
1429,sulfadoxine + pyrimethamine,oral  solid,500 mg + 25 mg tablet,P01BD51,WHO,,
1433,sulfamethoxazole + trimethoprim,parenteral  general injections  iv,80 mg + 16 mg per  mL in 10 mL ampoule; 80 mg + 16 mg per  mL in 5 mL ampoule,J01EE01,WHO,,
1437,sulfasalazine,oral  solid,500 mg,A07EC01,WHO,,
1440,sumatriptan,oral  solid,50 mg,N02CC01,WHO,,
1441,"sunscreen, broad-spectrum","topical cream, lotion, gel, ointment, spray with sun protection factor ≥ 50.",,,WHO,,
1443,suramin sodium,parenteral  general injections  iv,1 g in vial,P01CX02,WHO,,
1445,suxamethonium,parenteral  general injections  iv,50 mg per  mL in 2 mL ampoule (suxamethonium chloride); powder for injection (suxamethonium chloride) in vial,M03AB01,WHO,,
1446,tacalcitol,,,,WHO,,
1447,tacrolimus,parenteral  general injections  iv,5 mg per  mL in 1 mL vial,L04AD02,WHO,,
1448,tamoxifen,oral  solid,10 mg (as citrate); 20 mg (as citrate),L02BA01,WHO,,
1450,tedizolid,,,,WHO,,
1453,telmisartan + amlodipine,oral  solid,40 mg + 5 mg; 80 mg + 5 mg; 80 mg + 10 mg,C09DB04,WHO,,
1454,telmisartan + hydrochlorothiazide,oral  solid,40 mg + 12.5 mg; 80 mg + 12.5 mg; 80 mg + 25 mg,C09DA07,WHO,,
1455,tenofovir alafenamide,oral  solid,25 mg,J05AF13,WHO,,
1456,tenofovir disoproxil fumarate,oral  solid,300 mg tablet (equivalent to 245 mg tenofovir disoproxil),J05AF07,WHO,,
1459,terbinafine,local  topical  cream,1% terbinafine hydrochloride,D01AE15,WHO,,
1460,terbutaline,,,,WHO,,
1462,terizidone,,,,WHO,,
1463,testosterone,parenteral  general injections  im,200 mg per  mL in 1 mL ampoule (enantate),G03BA03,WHO,,
1464,tetanus antitoxin,parenteral  general injections  im,50000 iu in vial,J06AA02,WHO,,
1465,tetanus vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AM01,WHO,,
1466,tetracaine,local  ophthalmological  solution (eye drops),0.5% (hydrochloride),S01HA03,WHO,,
1467,tetracycline,oral  solid,250 mg (hydrochloride),J01AA07,WHO,,
1473,thalidomide,oral  solid,50 mg,L04AX02,WHO,,
1474,thiamine,oral  solid,50 mg (hydrochloride),A11DA01,WHO,,
1475,thiopental,,,,WHO,,
1476,ticagrelor,oral  solid  tablet,60 mg; 90 mg,B01AC24,WHO,,
1478,tick-borne encephalitis vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BA01,WHO,,
1479,tigecycline,parenteral  general injections  iv,50 mg in vial powder for injection,J01AA12,WHO,,
1480,timolol,local  ophthalmological  solution (eye drops),0.25% (hydrogen maleate); 0.5% (hydrogen maleate),S01ED01,WHO,,
1482,tinidazole,,,,WHO,,
1483,tioguanine,oral  solid,40 mg,L01BB03,WHO,,
1484,tiotropium bromide,respiratory  inhalation  powder,18 µg capsule,R03BB04,WHO,,
1485,tisagenlecleucel,,,,WHO,,
1486,tislelizumab,parenteral  general injections  iv,100 mg per 10 mL,L01FF09,WHO,,
1489,tobramycin,,,,WHO,,
1491,tocilizumab,parenteral  general injections  iv,80 mg per 4 mL in vial; 200 mg per 10 mL in vial; 400 mg per 20 mL in vial,L04AC07,WHO,,
1492,tolbutamide,oral  solid,500 mg,A10BB03,WHO,,
1493,torasemide,,,,WHO,,
1496,toripalimab,parenteral  general injections  iv,240 mg per 6 mL in vial,L01FF13,WHO,,
1498,tramadol,oral  liquid,100 mg per  mL (hydrochloride),N02AX02,WHO,,
1499,trametinib,oral  solid,0.5 mg; 2 mg,L01EE01,WHO,,
1500,tranexamic acid,parenteral  general injections  iv,100 mg per  mL in 10 mL ampoule,B02AA02,WHO,,
1502,trastuzumab,parenteral  general injections  iv,60 mg in vial powder for injection; 150 mg in vial powder for injection; 440 mg in vial powder for injection,L01FD01,WHO,,
1503,trastuzumab emtansine,parenteral  general injections  iv,100 mg in vial powder for injection; 160 mg in vial powder for injection,L01FD03,WHO,,
1504,triamcinolone hexacetonide,parenteral  locoregional injections  intra-articular,20 mg per  mL in vial,H02AB08,WHO,,
1505,triclabendazole,oral  solid  tablet,250 mg (scored),P02BX04,WHO,,
1507,trihexyphenidyl,oral  solid,2 mg (hydrochloride); 5 mg (hydrochloride),N04AA01,WHO,,
1509,trimethoprim,oral  liquid,50 mg per  mL,J01EA01,WHO,,
1510,triptorelin,,,,WHO,,
1512,tropicamide,local  ophthalmological  solution (eye drops),0.5%,S01FA06,WHO,,
1513,tropisetron,,,,WHO,,
1515,"tuberculin, purified protein derivative",parenteral  locoregional injections  intradermal,,V04CF01,WHO,,
1516,tubocurarine,parenteral  general injections  iv,10 mg per  mL in 1.5 mL ampoule (tubocurarine chloride),M03AA02,WHO,,
1517,typhoid vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AP03,WHO,,
1518,ulipristal,oral  solid,30 mg tablet (ulipristal acetate),G03AD02,WHO,,
1519,umeclidinium,,,,WHO,,
1520,urea,local  topical  cream,10%; 5%,D02AE01,WHO,,
1521,ustekinumab,parenteral  general injections  sc,45 mg per 0.5 mL in vial; 90 mg per  mL in pre-filled syringe,L04AC05,WHO,,
1522,valaciclovir,,,,WHO,,
1525,valganciclovir,oral  liquid,50 mg per  mL powder for oral solution,J05AB14,WHO,,
1526,valproic acid (sodium valproate),oral  solid,200 mg tablet (enteric-coated); 500 mg tablet (enteric-coated),N03AG01,WHO,,
1529,vancomycin,parenteral  general injections  iv,250 mg in vial (as hydrochloride) powder for injection,J01XA01,WHO,,
1535,varenicline,oral  solid,0.5 mg; 1 mg,N07BA03,WHO,,
1536,varicella vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BK01,WHO,,
1537,vecuronium,parenteral  general injections  iv,10 mg in vial powder for injection (vecuronium bromide),M03AC03,WHO,,
1538,vemurafenib,,,,WHO,,
1539,verapamil,parenteral  general injections  iv,2.5 mg per  mL in 2 mL ampoule (hydrochloride),C08DA01,WHO,,
1541,vinblastine,parenteral  general injections  iv,10 mg in vial (vinblastine sulfate),L01CA01,WHO,,
1550,vincristine,parenteral  general injections  iv,1 mg in vial (vincristine sulfate); 5 mg in vial (vincristine sulfate),L01CA02,WHO,,
1564,vinorelbine,parenteral  general injections  iv,10 mg per  mL in 1 mL vial; 10 mg per   mL in 5 mL vial,L01CA04,WHO,,
1567,voriconazole,parenteral  general injections  iv,200 mg in vial powder for injection,J02AC03,WHO,,
1569,warfarin,oral  solid,5 mg (sodium salt); 1 mg (sodium salt); 2 mg (sodium salt); 0.5 mg (sodium salt),B01AA03,WHO,,
1573,water for injection,parenteral  general injections  unspecified,2 mL ampoule; 5 mL ampoule; 10 mL ampoule,,WHO,,
1574,whole blood,parenteral  general injections  iv,,,WHO,,
1575,xylometazoline,local  nasal  spray,0.05% w/v equivalent to 0.5 mg per mL,R01AA07,WHO,,
1576,yellow fever vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BL01,WHO,,
1577,zanubrutinib,oral  solid,80 mg,L01EL03,WHO,,
1579,zidovudine,parenteral  general injections  iv,10 mg per  mL in 20 mL vial solution for iv infusion,J05AF01,WHO,,
1580,zinc sulfate,oral  solid,20 mg,A12CB01,WHO,,
1581,zoledronic acid,parenteral  general injections  iv,4 mg per 5 mL in 5 mL vial; 4 mg per 100 mL in 100 mL bottle,M05BA08,WHO,,
1583,zuclopenthixol decanoate,,,,WHO,,
0,Albumin,Solution,40g (20%),B05AA01,South Africa,,
1,Azathioprine,Tablet/Capsule,0.5-1mg/kg,L04AX01,South Africa,,
2,Calcium Gluconate 10%,Injection,10 - 120ml,B05XA19,South Africa,,
3,Amoxicillin,Tablet/Capsule,1g,J01CA04,South Africa,,
7,Freeze dried plasma (FDP),Solution,15ml/kg,B05AX03,South Africa,,
8,Fresh Frozen Plasma (FFP),Solution,15ml/kg,B05AX03,South Africa,,
9,Furosemide,Tablet/Capsule,40mg,C03CA01,South Africa,,
10,Hepatitis B immunoglobulin (HBIG),Injection,500 units,J06BB04 ,South Africa,,
11,Hepatitis B vaccine,Injection,1 dose,J06BB04,South Africa,,
12,Lactulose,Solution,10-30ml,A06AD11,South Africa,,
14,Lipase,Tablet/Capsule,30 000 units,A09AA02,South Africa,,
15,Loperamide,Tablet/Capsule,2-4mg,A07DA03,South Africa,,
16,Magnesium sulfate,Solution,25-50mmol,B05XA05,South Africa,,
17,Metoclopramide,Tablet/Capsule,10mg,A03FA01,South Africa,,
19,Morphine,Injection,10mg,N02AA01,South Africa,,
20,Oral rehydration solution (ORS),Solution,as requried,A07CA ,South Africa,,
22,Pantoprazole,Tablet/Capsule,40mg,A02BC02,South Africa,,
24,PEG/sodium sulphate ,Solution,4 litres,A06AD13,South Africa,,
25,Prednisone,Tablet/Capsule,0.5mg/kg,H02AB07,South Africa,,
26,Propranolol,Tablet/Capsule,20-40mg,C07AA05,South Africa,,
27,Ringer's Lactate,Solution,,B05BB01,South Africa,,
28,Sodium chloride 0.9%,Solution,1L,B05XA13,South Africa,,
30,Spironolactone,Tablet/Capsule,100mg,C03DA01,South Africa,,
31,Tenofovir alafenamide,Tablet/Capsule,25mg,J05AF13,South Africa,,
32,Tenofovir disoproxil fumarate,Tablet/Capsule,300mg,J05AF07,South Africa,,
33,Thiamine,Tablet/Capsule,300mg,A11DA01,South Africa,,
34,Vitamin K1,Injection,10mg,B02BA01,South Africa,,
35,Adrenaline (epinephrine),Injection,0.01 mL/kg (10 mcg/kg)(maximum per dose = 0.5ml),C01CA24,South Africa,,
39,Adrenaline (Epinephrine) 1:10 000,Injection,0.1 mL/kg,C01CA24,South Africa,,
42,Aqueous cream,Cream/ointment/gel,Topical application - dose dependant on size of affected area. Daily application,V4890,South Africa,,
43,Cetirizine,Solution,5mg ,R06AE07,South Africa,,
47,Chlorphenamine,Solution,0.1 mg/kg/dose single dose at night,R06AB04,South Africa,,
51,Dextrose 5%/Sodium chloride 0.9%,Solution,To be calculated according to STG,B05XA03,South Africa,,
52,Dobutamine,Injection,5-15 mcg/kg/minute,C01CA07,South Africa,,
54,Freeze dried (lyophilised) plasma (FDP),Solution,1 unit for each unit of  emergency blood transfused,B05AX03,South Africa,,
55,Hydrocortisone,Injection,1 - 2 mg/kg/dose 6 hourly,H02AB09,South Africa,,
57,Lidocaine (Lignocaine),Injection,0.5 mg/kg,N01BB02,South Africa,,
58,Omeprazole,Tablet/capsule/granules,0.4 - 0.8 mg/kg/dose,A02BC01,South Africa,,
59,Ondansetron,Tablet/capsule/granules,0.1 - 0.2 mg/kg 12 hourly,A04AA01,South Africa,,
62,Povidone iodine 0.5%,Cream/ointment/gel,Topical application - dose dependant on size of affected area. Daily application,D08AG02,South Africa,,
63,Promethazine,Injection,0.25 - 0.5 mg/kg/dose,R06AD02,South Africa,,
64,Ranitidine,Injection,1 mg/kg 6 hourly,A02BA02,South Africa,,
69,Salbutamol ,Solution,1 mL in NaCl 0.9% at 20 min intervals,R03AC02,South Africa,,
70,Silver-sulphadiazine 1%,Cream/ointment/gel,Topical application - dose dependant on size of affected area. Daily application,D06BA01,South Africa,,
71,Sodium Chloride 0.9%,Solution,1mL/hr (0.02 mcg/kg/minute),B05XA03,South Africa,,
80,Tetanus immunoglobulin,Injection,500 IU,J06BB02,South Africa,,
81,Tetanus Toxoid Vaccine (TT),Injection,0.5 ml,J07AM01,South Africa,,
82,Aciclovir,Solution,250 mg/m2/dose,D06BB03,South Africa,,
84,Chlorhexidine,Solution,0.2%. 15 mL,A01AB03,South Africa,,
86,Lidocaine with adrenaline (epinephrine),Injection,,N01BB52 ,South Africa,,
87,Metronidazole,Solution,7.5mg/kg/dose,A01AB17,South Africa,,
91,Nystatin,Suspension,100 000 IU/mL,A07AA02,South Africa,,
92,Paracetamol,Tablet/Capsule,1g,N01BA03,South Africa,,
95,Petroleum jelly,Ointment,,D02AC,South Africa,,
96,Tetracaine,Ointment,0.005,N01BA03,South Africa,,
97,Amoxicillin/clavulanic acid,Tablet/Capsule,875/125mg,J01CR02,South Africa,,
100,Azithromycin,Tablet/Capsule,500mg,J01FA10,South Africa,,
103,Ceftriaxone,Injection,1g,J01DD04,South Africa,,
104,Ciprofloxacin,Tablet/Capsule,500mg,J01MA02,South Africa,,
110,Vancomycin,Injection,125mg,J01XA01,South Africa,,
111,Amikacin,Injection,15mg/kg,J01GB06,South Africa,,
118,Amphotericin B deoxyxholate,Injection,1mg/kg,J02AA01,South Africa,,
119,Aspirin,Tablet/Capsule,150mg,B01AC06,South Africa,,
120,Cryoprecipitate,Solution,1 unit/10kg,,South Africa,,
121,Dextrose 5%,Injection,,B05BA03,South Africa,,
