innovation,eml,scope,disease,eml_date,nra,nra_date,gra,gra_date,gra_body,dose,form,alternative_names,category,technology,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,data_source,readiness,financing,impact_potential,introduction_readiness,date_proof_of_concept,date_first_regulatory,date_first_launch,proj_date_first_regulatory,proj_date_first_launch,proj_date_lmic_20_uptake
Bosphore Tropical Fever Panel Kit v1,NA,Senegal,Malaria,NA,No,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosphore Tropical Fever Panel Kit v1,NA,South Africa,Malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosphore Tropical Fever Panel Kit v1,NA,WHO,Malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosphore Tropical Fever Panel Kit v2,NA,Kenya,Malaria,NA,No,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosphore Tropical Fever Panel Kit v2,NA,Senegal,Malaria,NA,No,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosphore Tropical Fever Panel Kit v2,NA,South Africa,Malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosphore Tropical Fever Panel Kit v2,NA,WHO,Malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Therapeutic,Multiplex real-time PCR pane,all ages malaria,"Detection of Plasmodium falicparum, Plasmodium vivax, Plasmodium malariae, Plasmodium ovale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHADOX1.85A+MVA85A,NA,Kenya,Tuberculosis,NA,No,NA,No,NA,NA,NA,NA,NA,Vaccine,simian adenoviral vector,all age TB,Prevention of tuberculosis,NA,NA,NA,Completed,8/5/22,NA,NA,NA,NA,Phase 2,NA,8/5/22,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/22,NA,NA,3/18/25,7/13/25,7/14/30
CHADOX1.85A+MVA85A,NA,Senegal,Tuberculosis,NA,No,NA,No,NA,NA,NA,NA,NA,Vaccine,simian adenoviral vector,all age TB,Prevention of tuberculosis,NA,NA,NA,Completed,8/5/22,NA,NA,NA,NA,Phase 2,NA,8/5/22,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/22,NA,NA,3/18/25,7/13/25,7/14/30
CHADOX1.85A+MVA85A,NA,South Africa,Tuberculosis,NA,NA,NA,No,NA,NA,NA,NA,NA,Vaccine,simian adenoviral vector,all age TB,Prevention of tuberculosis,NA,NA,NA,Completed,8/5/22,NA,NA,NA,NA,Phase 2,NA,8/5/22,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/22,NA,NA,3/18/25,7/13/25,7/14/30
CHADOX1.85A+MVA85A,NA,WHO,Tuberculosis,NA,NA,NA,No,NA,NA,NA,NA,NA,Vaccine,simian adenoviral vector,all age TB,Prevention of tuberculosis,NA,NA,NA,Completed,8/5/22,NA,NA,NA,NA,Phase 2,NA,8/5/22,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/22,NA,NA,3/18/25,7/13/25,7/14/30
CIS43LS,NA,Kenya,Malaria,NA,No,NA,NA,NA,NA,NA,NA,CIS43-LS mAb or anti-CSP mAb,Diagnostic,Long-acting human IgG1 monoclonal antibody,adult malaria,Treatment of uncomplicated plasmodium Falciparum,NA,NA,NA,Completed,9/4/25,NA,NA,NA,NA,Phase 2,NA,9/4/25,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/4/25,NA,NA,4/17/28,8/12/28,8/13/33
CIS43LS,NA,Senegal,Malaria,NA,No,NA,NA,NA,NA,NA,NA,CIS43-LS mAb or anti-CSP mAb,Diagnostic,Long-acting human IgG1 monoclonal antibody,adult malaria,Treatment of uncomplicated plasmodium Falciparum,NA,NA,NA,Completed,9/4/25,NA,NA,NA,NA,Phase 2,NA,9/4/25,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/4/25,NA,NA,4/17/28,8/12/28,8/13/33
CIS43LS,NA,South Africa,Malaria,NA,NA,NA,NA,NA,NA,NA,NA,CIS43-LS mAb or anti-CSP mAb,Diagnostic,Long-acting human IgG1 monoclonal antibody,adult malaria,Treatment of uncomplicated plasmodium Falciparum,NA,NA,NA,Completed,9/4/25,NA,NA,NA,NA,Phase 2,NA,9/4/25,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/4/25,NA,NA,4/17/28,8/12/28,8/13/33
CIS43LS,NA,WHO,Malaria,NA,NA,NA,NA,NA,NA,NA,NA,CIS43-LS mAb or anti-CSP mAb,Diagnostic,Long-acting human IgG1 monoclonal antibody,adult malaria,Treatment of uncomplicated plasmodium Falciparum,NA,NA,NA,Completed,9/4/25,NA,NA,NA,NA,Phase 2,NA,9/4/25,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/4/25,NA,NA,4/17/28,8/12/28,8/13/33
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 48)",NA,Kenya,HIV,NA,No,NA,Yes,12/15/14,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Diagnosis of infection with HIV,New Chemical Entity,NA,NA,NA,NA,NA,NA,Completed,12/15/14,Phase 4,NA,12/15/14,"Roche Molecular Systems, Inc.",28000000,9000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://abbott.com,NA,NA,NA,NA,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/19
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 48)",NA,Senegal,HIV,NA,No,NA,Yes,12/15/14,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Diagnosis of infection with HIV,New Chemical Entity,NA,NA,NA,NA,NA,NA,Completed,12/15/14,Phase 4,NA,12/15/14,"Roche Molecular Systems, Inc.",28000000,9000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://abbott.com,NA,NA,NA,NA,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/19
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 48)",NA,South Africa,HIV,NA,NA,NA,Yes,12/15/14,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Diagnosis of infection with HIV,New Chemical Entity,NA,NA,NA,NA,NA,NA,Completed,12/15/14,Phase 4,NA,12/15/14,"Roche Molecular Systems, Inc.",28000000,9000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://abbott.com,NA,NA,NA,NA,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/19
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 48)",NA,WHO,HIV,NA,NA,NA,Yes,12/15/14,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Diagnosis of infection with HIV,New Chemical Entity,NA,NA,NA,NA,NA,NA,Completed,12/15/14,Phase 4,NA,12/15/14,"Roche Molecular Systems, Inc.",28000000,9000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://abbott.com,NA,NA,NA,NA,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/19
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 96)",NA,Kenya,HIV,NA,No,NA,Yes,5/1/12,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,5/1/12,Phase 4,NA,5/1/12,"Roche Molecular Systems, Inc.",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://public.tableau.com/app/profile/policy.cures.research/viz/AIMMaternalHealthPortal2023/AIMdatabase,NA,NA,NA,NA,5/1/12,5/1/12,5/1/12,5/1/12,5/1/12,5/1/17
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 96)",NA,Senegal,HIV,NA,No,NA,Yes,5/1/12,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,5/1/12,Phase 4,NA,5/1/12,"Roche Molecular Systems, Inc.",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://public.tableau.com/app/profile/policy.cures.research/viz/AIMMaternalHealthPortal2023/AIMdatabase,NA,NA,NA,NA,5/1/12,5/1/12,5/1/12,5/1/12,5/1/12,5/1/17
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 96)",NA,South Africa,HIV,NA,NA,NA,Yes,5/1/12,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,5/1/12,Phase 4,NA,5/1/12,"Roche Molecular Systems, Inc.",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://public.tableau.com/app/profile/policy.cures.research/viz/AIMMaternalHealthPortal2023/AIMdatabase,NA,NA,NA,NA,5/1/12,5/1/12,5/1/12,5/1/12,5/1/12,5/1/17
"COBAS AmpliPrep/COBAS TaqMan HIV-1 Qualitative Test, version 2.0 (TaqMan 96)",NA,WHO,HIV,NA,NA,NA,Yes,5/1/12,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,5/1/12,Phase 4,NA,5/1/12,"Roche Molecular Systems, Inc.",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://public.tableau.com/app/profile/policy.cures.research/viz/AIMMaternalHealthPortal2023/AIMdatabase,NA,NA,NA,NA,5/1/12,5/1/12,5/1/12,5/1/12,5/1/12,5/1/17
COBAS HIV-1 Nucleic acid test to use with Cobas 4800 System,NA,Kenya,HIV,NA,No,NA,Yes,9/14/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,9/14/22,Phase 4,NA,9/14/22,Roche Diagnostics GmbH,55000000,250000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://igenesisbioglobal.com,NA,NA,NA,NA,9/14/22,9/14/22,9/14/22,9/14/22,9/14/22,9/14/27
COBAS HIV-1 Nucleic acid test to use with Cobas 4800 System,NA,Senegal,HIV,NA,No,NA,Yes,9/14/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,9/14/22,Phase 4,NA,9/14/22,Roche Diagnostics GmbH,55000000,250000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://igenesisbioglobal.com,NA,NA,NA,NA,9/14/22,9/14/22,9/14/22,9/14/22,9/14/22,9/14/27
COBAS HIV-1 Nucleic acid test to use with Cobas 4800 System,NA,South Africa,HIV,NA,NA,NA,Yes,9/14/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,9/14/22,Phase 4,NA,9/14/22,Roche Diagnostics GmbH,55000000,250000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://igenesisbioglobal.com,NA,NA,NA,NA,9/14/22,9/14/22,9/14/22,9/14/22,9/14/22,9/14/27
COBAS HIV-1 Nucleic acid test to use with Cobas 4800 System,NA,WHO,HIV,NA,NA,NA,Yes,9/14/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-1,NA,NA,NA,NA,NA,NA,NA,Completed,9/14/22,Phase 4,NA,9/14/22,Roche Diagnostics GmbH,55000000,250000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://igenesisbioglobal.com,NA,NA,NA,NA,9/14/22,9/14/22,9/14/22,9/14/22,9/14/22,9/14/27
COBAS HIV-1 Quantitative nucleic acid test for use on the cobas 6800/8800 Systems,NA,Kenya,HIV,NA,No,NA,Yes,10/13/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-2,NA,NA,NA,NA,NA,NA,NA,Completed,10/13/22,Phase 4,NA,10/13/22,Roche Diagnostics GmbH,35000000,40000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://generium.ru/en,NA,NA,NA,NA,10/13/22,10/13/22,10/13/22,10/13/22,10/13/22,10/13/27
COBAS HIV-1 Quantitative nucleic acid test for use on the cobas 6800/8800 Systems,NA,Senegal,HIV,NA,No,NA,Yes,10/13/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-2,NA,NA,NA,NA,NA,NA,NA,Completed,10/13/22,Phase 4,NA,10/13/22,Roche Diagnostics GmbH,35000000,40000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://generium.ru/en,NA,NA,NA,NA,10/13/22,10/13/22,10/13/22,10/13/22,10/13/22,10/13/27
COBAS HIV-1 Quantitative nucleic acid test for use on the cobas 6800/8800 Systems,NA,South Africa,HIV,NA,NA,NA,Yes,10/13/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-2,NA,NA,NA,NA,NA,NA,NA,Completed,10/13/22,Phase 4,NA,10/13/22,Roche Diagnostics GmbH,35000000,40000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://generium.ru/en,NA,NA,NA,NA,10/13/22,10/13/22,10/13/22,10/13/22,10/13/22,10/13/27
COBAS HIV-1 Quantitative nucleic acid test for use on the cobas 6800/8800 Systems,NA,WHO,HIV,NA,NA,NA,Yes,10/13/22,WHO_PQ,NA,NA,NA,Diagnostic,in vitro nucleic acid amplification test,all ages HIV,Quantification of HIV-2,NA,NA,NA,NA,NA,NA,NA,Completed,10/13/22,Phase 4,NA,10/13/22,Roche Diagnostics GmbH,35000000,40000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://generium.ru/en,NA,NA,NA,NA,10/13/22,10/13/22,10/13/22,10/13/22,10/13/22,10/13/27
CRISPR-TB Point of Care blood assay,NA,Kenya,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pediatric HIV,To measure the amount of HIV-1 RNA in the blood and to diagnose HIV infection in infants < 18 months of age (only if validated by the manufacturer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRISPR-TB Point of Care blood assay,NA,Senegal,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pediatric HIV,To measure the amount of HIV-1 RNA in the blood and to diagnose HIV infection in infants < 18 months of age (only if validated by the manufacturer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRISPR-TB Point of Care blood assay,NA,South Africa,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pediatric HIV,To measure the amount of HIV-1 RNA in the blood and to diagnose HIV infection in infants < 18 months of age (only if validated by the manufacturer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRISPR-TB Point of Care blood assay,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pediatric HIV,To measure the amount of HIV-1 RNA in the blood and to diagnose HIV infection in infants < 18 months of age (only if validated by the manufacturer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYVAC (R21 Malaria Vaccine),NA,Kenya,Malaria,NA,No,NA,Yes,12/19/23,WHO_PQ,NA,vial,NA,Vaccine,"Recombinant, adjuvanted",Newborns and infants,Prevention of Plasmodium falciparum malaria. ,NA,NA,NA,NA,NA,NA,NA,Completed,12/19/23,Phase 4,NA,12/19/23,Serum Institute of India Pvt. Ltd.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/23,12/19/23,12/19/23,12/19/23,12/19/23,12/18/28
CYVAC (R21 Malaria Vaccine),NA,Senegal,Malaria,NA,No,NA,Yes,12/19/23,WHO_PQ,NA,vial,NA,Vaccine,"Recombinant, adjuvanted",Newborns and infants,Prevention of Plasmodium falciparum malaria. ,NA,NA,NA,NA,NA,NA,NA,Completed,12/19/23,Phase 4,NA,12/19/23,Serum Institute of India Pvt. Ltd.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/23,12/19/23,12/19/23,12/19/23,12/19/23,12/18/28
CYVAC (R21 Malaria Vaccine),NA,South Africa,Malaria,NA,NA,NA,Yes,12/19/23,WHO_PQ,NA,vial,NA,Vaccine,"Recombinant, adjuvanted",Newborns and infants,Prevention of Plasmodium falciparum malaria. ,NA,NA,NA,NA,NA,NA,NA,Completed,12/19/23,Phase 4,NA,12/19/23,Serum Institute of India Pvt. Ltd.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/23,12/19/23,12/19/23,12/19/23,12/19/23,12/18/28
CYVAC (R21 Malaria Vaccine),NA,WHO,Malaria,NA,NA,NA,Yes,12/19/23,WHO_PQ,NA,vial,NA,Vaccine,"Recombinant, adjuvanted",Newborns and infants,Prevention of Plasmodium falciparum malaria. ,NA,NA,NA,NA,NA,NA,NA,Completed,12/19/23,Phase 4,NA,12/19/23,Serum Institute of India Pvt. Ltd.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/23,12/19/23,12/19/23,12/19/23,12/19/23,12/18/28
Cabergoline,NA,Kenya,Malaria,NA,No,NA,Yes,12/23/96,US_FDA,NA,NA,Dostinex,Therapeutic,Dopamine D2 receptor agonist,MNCH,Treatment of hyperprolactinemic disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/23/96,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/96,12/23/96,12/23/96,12/23/96,12/23/96,12/23/01
Cabergoline,NA,Senegal,Malaria,NA,Yes,NA,Yes,12/23/96,US_FDA,NA,NA,Dostinex,Therapeutic,Dopamine D2 receptor agonist,MNCH,Treatment of hyperprolactinemic disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/23/96,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/96,12/23/96,12/23/96,12/23/96,12/23/96,12/23/01
Cabergoline,NA,South Africa,Malaria,NA,NA,NA,Yes,12/23/96,US_FDA,NA,NA,Dostinex,Therapeutic,Dopamine D2 receptor agonist,MNCH,Treatment of hyperprolactinemic disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/23/96,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/96,12/23/96,12/23/96,12/23/96,12/23/96,12/23/01
Cabergoline,NA,WHO,Malaria,NA,NA,NA,Yes,12/23/96,US_FDA,NA,NA,Dostinex,Therapeutic,Dopamine D2 receptor agonist,MNCH,Treatment of hyperprolactinemic disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/23/96,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/96,12/23/96,12/23/96,12/23/96,12/23/96,12/23/01
Cabotegravir,NA,Kenya,HIV,NA,No,NA,NA,NA,NA,600mg/3ml,Injectable,CAB-LA (600mg/3mL vials),Therapeutic,Long-acting injectable antiretroviral depot,all ages HIV,Pre-Exposure Prophylaxis (PrEP),NA,NA,NA,Completed,NA,Completed,10/10/25,NA,NA,Phase 3,Phase 2 and 3,10/10/25,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,10/10/25,NA,NA,5/23/28,9/17/28,9/18/33
Cabotegravir,NA,Senegal,HIV,NA,No,NA,NA,NA,NA,600mg/3ml,Injectable,CAB-LA (600mg/3mL vials),Therapeutic,Long-acting injectable antiretroviral depot,all ages HIV,Pre-Exposure Prophylaxis (PrEP),NA,NA,NA,Completed,NA,Completed,10/10/25,NA,NA,Phase 3,Phase 2 and 3,10/10/25,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,10/10/25,NA,NA,5/23/28,9/17/28,9/18/33
Cabotegravir,NA,South Africa,HIV,NA,NA,NA,NA,NA,NA,600mg/3ml,Injectable,CAB-LA (600mg/3mL vials),Therapeutic,Long-acting injectable antiretroviral depot,all ages HIV,Pre-Exposure Prophylaxis (PrEP),NA,NA,NA,Completed,NA,Completed,10/10/25,NA,NA,Phase 3,Phase 2 and 3,10/10/25,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,10/10/25,NA,NA,5/23/28,9/17/28,9/18/33
