Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model,source_file
Sorbitol,AltName B,Drug,hiv,hiv,Phase 4,2016-03-11,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Between 18 and 65 years of age inclusive, at the time of signing the informed consent.
* Healthy as determined by the investigator or medically qualified designee based on a med...",Yes,2016-08-04,FDA-66111,0.56,0.15,3.5,4.21,2016-10-01,2016-11-25,2020-05-26,55,Pfizer,71,Kenya,57.33333333333334,91,64,57,29,19,84,73,2,4,2,True,True,True,False,True,True,True,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
GSK1349572,Comp Beta,Drug,hiv,hiv,Phase 2,2008-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male or female \>/18 and \</ 65 years of age.
* A female subject is eligible to participate if she is of non-childbearing potential defined as pre-menopausal females with a docu...",No,2009-04-03,FDA-33921,4.41,0.98,21.0,26.39,2012-12-28,2013-12-21,2034-12-21,69,AstraZeneca,19,Overall,59.0,33,79,85,60,40,57,45,2,3,0,True,True,False,True,True,True,False,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
FDA Approved Antiretroviral Therapy (see list below),Product Alpha,Drug,hiv,hiv,Phase 3,2012-06-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV infected- confirmed by ELISA or 2 prior viral loads \>2000
* 18 years or older
* Under consideration to initiate or change their HAART regimens (based on current consensus t...",No,2012-08-08,FDA-64167,2.62,0.32,5.0,7.94,2015-01-13,2015-05-10,2020-05-10,83,GSK,0,Overall,39.33333333333334,8,84,14,35,15,80,64,1,4,2,True,False,True,True,True,False,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
DNA plasmid vaccine,AltName B,Biological,hiv,hiv,Phase 2,2017-10-06,"Sex: MALE; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* HIV-1 and -2 negative
* Good general health
* Fully circumcised
* Experienced one or both of the following HIV risk criteria in the 6 months before study entry:

  1. Unprotecte...",No,2018-03-18,FDA-85892,4.41,0.98,21.0,26.39,2022-03-04,2023-02-25,2044-02-25,5,Bayer,55,Senegal,69.16666666666667,90,76,88,17,65,79,55,1,3,2,False,True,False,True,True,True,False,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Recombinant adenoviral serotype 5 (rAD5) vector vaccine,Comp Beta,Biological,hiv,hiv,Phase 2,2017-10-06,"Sex: MALE; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* HIV-1 and -2 negative
* Good general health
* Fully circumcised
* Experienced one or both of the following HIV risk criteria in the 6 months before study entry:

  1. Unprotecte...",No,2018-02-10,FDA-26835,4.41,0.98,21.0,26.39,2022-03-04,2023-02-25,2044-02-25,83,J&J,26,South Africa,38.33333333333334,71,13,20,23,35,68,73,2,3,3,True,True,True,True,False,True,False,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Buprenorphine/Naloxone,Product Alpha,Drug,hiv,hiv,Phase 3,2012-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* HIV-uninfected within 28 days of enrollment
* Meets DSM-IV criteria for opiate dependence
* Positive urine test for opiates
* Injected opiates at least 12 times in the 28 days p...",Yes,2012-08-05,FDA-12318,2.62,0.32,5.0,7.94,2015-02-12,2015-06-09,2020-06-09,92,GSK,93,Overall,58.33333333333334,82,19,35,97,21,96,55,1,3,2,False,True,False,False,True,True,True,False,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Raltegravir,AltName A,Drug,hiv,hiv,Phase 4,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

To qualify for this study, participants will need to have:

1. At least 18 years of age
2. Documented HIV-1 infection
3. CD4+ count \<350 cells/mm3 at the time of enrollment or CD...",Yes,2014-03-17,FDA-47550,0.56,0.15,3.5,4.21,2013-11-21,2014-01-15,2017-07-16,52,Gilead,7,South Africa,62.0,84,75,36,24,92,61,27,1,1,1,True,False,False,False,True,False,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Raltegravir,Product Alpha,Drug,hiv,hiv,Phase 4,2013-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

To qualify for this study, participants will need to have:

1. At least 18 years of age
2. Documented HIV-1 infection
3. CD4+ count \<350 cells/mm3 at the time of enrollment or CD...",No,2013-06-18,FDA-20262,0.56,0.15,3.5,4.21,2013-11-21,2014-01-15,2017-07-16,37,GSK,76,South Africa,40.83333333333334,91,13,42,73,5,21,73,2,4,2,True,True,True,True,True,False,True,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Tenofovir/emtricitabine,AltName B,Drug,hiv,hiv,Phase 4,2013-04-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection, documented by (1) any licensed rapid HIV test or HIV enzyme or chemiluminescence immunoassay (E/CIA) test kit at any time prior to study entry and confirmed by ...",No,2014-01-01,FDA-29246,0.56,0.15,3.5,4.21,2013-10-22,2013-12-16,2017-06-16,61,J&J,11,Overall,32.0,11,2,85,31,43,20,55,1,3,2,False,True,False,True,True,False,True,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Tenofovir/emtricitabine/efavirenz,AltName B,Drug,hiv,hiv,Phase 4,2013-04-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection, documented by (1) any licensed rapid HIV test or HIV enzyme or chemiluminescence immunoassay (E/CIA) test kit at any time prior to study entry and confirmed by ...",No,2013-10-19,FDA-31103,0.56,0.15,3.5,4.21,2013-10-22,2013-12-16,2017-06-16,76,Merck,62,Overall,38.16666666666666,76,2,19,21,99,12,36,0,3,1,False,False,True,True,False,False,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Raltegravir,TradeName X,Drug,hiv,hiv,Phase 4,2013-04-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infection, documented by (1) any licensed rapid HIV test or HIV enzyme or chemiluminescence immunoassay (E/CIA) test kit at any time prior to study entry and confirmed by ...",Yes,2013-12-20,FDA-86436,0.56,0.15,3.5,4.21,2013-10-22,2013-12-16,2017-06-16,22,Sanofi,43,South Africa,50.33333333333334,67,23,57,43,90,22,64,1,2,4,True,False,False,False,True,True,False,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
acyclovir,TradeName X,Drug,hiv,hiv,Phase 4,2010-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 seropositive
* Not on HIV-1 antiretroviral therapy nor planning to initiate antiretroviral therapy during the study period
* CD4 cell count \>250 cell/µL
* Not otherwise e...",No,2011-11-23,FDA-50697,0.56,0.15,3.5,4.21,2011-06-23,2011-08-17,2015-02-15,82,J&J,3,Kenya,52.5,12,35,99,51,28,90,36,0,2,2,False,False,False,False,True,True,False,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
valacyclovir,AltName B,Drug,hiv,hiv,Phase 4,2010-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 seropositive
* Not on HIV-1 antiretroviral therapy nor planning to initiate antiretroviral therapy during the study period
* CD4 cell count \>250 cell/µL
* Not otherwise e...",No,2011-09-28,FDA-88152,0.56,0.15,3.5,4.21,2011-06-23,2011-08-17,2015-02-15,85,Bayer,62,Overall,50.0,79,31,16,97,22,55,45,2,1,2,True,True,False,False,True,False,False,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Dolutegravir 50mg od,Comp Beta,Drug,hiv,hiv,Phase 3,2018-12-06,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Able to provide informed consent
* Willing to participate,
* Women age 18 years and above
* Pregnant
* Untreated HIV infection in late pregnancy at ≥28 - 36 weeks gestation

Exc...",No,2019-11-12,FDA-83151,2.62,0.32,5.0,7.94,2021-07-19,2021-11-13,2026-11-14,36,Bayer,17,Overall,56.16666666666666,58,75,92,21,66,25,55,0,2,4,False,False,False,True,False,True,False,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Standard of Care,GenName Y,Drug,hiv,hiv,Phase 3,2018-12-06,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Able to provide informed consent
* Willing to participate,
* Women age 18 years and above
* Pregnant
* Untreated HIV infection in late pregnancy at ≥28 - 36 weeks gestation

Exc...",Yes,2019-03-11,FDA-42203,2.62,0.32,5.0,7.94,2021-07-19,2021-11-13,2026-11-14,5,J&J,71,Senegal,35.0,12,29,87,25,55,2,55,1,2,3,True,False,False,False,True,False,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Oral Cabotegravir (CAB),GenName Y,Drug,hiv,hiv,Phase 2,2025-04-22,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria: Cohort 1 Step 1, Cohort 2 Step 3, and Cohort 2 Step 5

All the following criteria must be met for inclusion of any adolescent participant in Step 1 of Cohort 1, or in Step 3 of Coh...",No,2025-12-11,FDA-74985,4.41,0.98,21.0,26.39,2029-09-18,2030-09-11,2051-09-11,99,Novartis,82,Kenya,35.83333333333334,44,30,27,69,12,33,64,2,3,2,True,True,False,True,False,True,True,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Oral Rilpivirine (RPV),GenName Y,Drug,hiv,hiv,Phase 2,2025-04-22,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria: Cohort 1 Step 1, Cohort 2 Step 3, and Cohort 2 Step 5

All the following criteria must be met for inclusion of any adolescent participant in Step 1 of Cohort 1, or in Step 3 of Coh...",No,2025-08-11,FDA-38092,4.41,0.98,21.0,26.39,2029-09-18,2030-09-11,2051-09-11,34,Sanofi,19,Overall,55.66666666666666,40,30,63,64,78,59,55,2,2,2,True,True,False,False,False,True,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Long-Acting Injectable Cabotegravir (CAB LA),TradeName X,Drug,hiv,hiv,Phase 2,2025-04-22,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria: Cohort 1 Step 1, Cohort 2 Step 3, and Cohort 2 Step 5

All the following criteria must be met for inclusion of any adolescent participant in Step 1 of Cohort 1, or in Step 3 of Coh...",Yes,2025-06-26,FDA-42861,4.41,0.98,21.0,26.39,2029-09-18,2030-09-11,2051-09-11,84,Pfizer,68,South Africa,52.66666666666666,33,44,76,81,36,46,45,0,3,2,False,False,True,False,True,False,True,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Long-Acting Injectable Rilpivirine (RPV LA),TradeName X,Drug,hiv,hiv,Phase 2,2025-04-22,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria: Cohort 1 Step 1, Cohort 2 Step 3, and Cohort 2 Step 5

All the following criteria must be met for inclusion of any adolescent participant in Step 1 of Cohort 1, or in Step 3 of Coh...",Yes,2026-03-10,FDA-49112,4.41,0.98,21.0,26.39,2029-09-18,2030-09-11,2051-09-11,92,Sanofi,75,Overall,58.16666666666666,26,72,75,63,90,23,36,1,1,2,True,False,False,False,False,True,False,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Combination Antiretroviral Therapy (cART),TradeName X,Drug,hiv,hiv,Phase 2,2025-04-22,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria: Cohort 1 Step 1, Cohort 2 Step 3, and Cohort 2 Step 5

All the following criteria must be met for inclusion of any adolescent participant in Step 1 of Cohort 1, or in Step 3 of Coh...",Yes,2025-09-17,FDA-93537,4.41,0.98,21.0,26.39,2029-09-18,2030-09-11,2051-09-11,74,Novartis,74,Overall,45.16666666666666,82,24,23,22,24,96,45,0,2,3,False,False,True,True,False,False,False,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Ad26.ZEBOV,Comp Beta,Biological,hiv,hiv,Phase 2,2019-02-12,"Sex: ALL; Age: >4 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

Criteria for healthy adults and elderly participants:

* Participant must be healthy in the investigator's clinical judgment on the basis of clinical laboratory tests, medical his...",Yes,2019-04-26,FDA-87783,4.41,0.98,21.0,26.39,2023-07-11,2024-07-03,2045-07-03,16,AstraZeneca,69,Senegal,34.0,69,5,37,10,79,4,55,1,3,2,True,False,False,True,True,False,True,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
MVA-BN-Filo,AltName A,Biological,hiv,hiv,Phase 2,2019-02-12,"Sex: ALL; Age: >4 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

Criteria for healthy adults and elderly participants:

* Participant must be healthy in the investigator's clinical judgment on the basis of clinical laboratory tests, medical his...",No,2019-09-16,FDA-94210,4.41,0.98,21.0,26.39,2023-07-11,2024-07-03,2045-07-03,25,Novartis,41,Overall,37.83333333333334,23,41,26,47,37,53,45,0,4,1,False,False,True,True,False,True,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
lopinavir/ritonavir (LPV/r) (tablet or capsule) with nucleoside reverse transcriptase inhibitors (NRTIs),Product Alpha,Drug,hiv,hiv,Phase 3,2008-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria

* Subjects were human immunodeficiency virus type 1 (HIV-1) positive, antiretroviral naïve adults at least 18 years of age with \< 7 days of prior antiretroviral therapy.
* Subject...",Yes,2009-03-08,FDA-83967,2.62,0.32,5.0,7.94,2011-02-12,2011-06-09,2016-06-09,55,Merck,6,Kenya,59.66666666666666,27,53,87,10,86,95,64,0,4,3,False,False,True,True,True,False,True,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
lopinavir/ritonavir (LPV/r) (tablet or capsule) with nucleoside reverse transcriptase inhibitors (NRTIs),Molecule Z,Drug,hiv,hiv,Phase 3,2008-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria

* Subjects were human immunodeficiency virus type 1 (HIV-1) positive, antiretroviral naïve adults at least 18 years of age with \< 7 days of prior antiretroviral therapy.
* Subject...",No,2008-10-20,FDA-33600,2.62,0.32,5.0,7.94,2011-02-12,2011-06-09,2016-06-09,87,Bayer,88,Kenya,65.0,32,51,99,78,71,59,55,2,2,2,True,True,True,False,False,True,False,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
lopinavir/ritonavir (LPV/r) (tablet or capsule) with nucleoside reverse transcriptase inhibitors (NRTIs),Molecule Z,Drug,hiv,hiv,Phase 3,2008-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria

* Subjects were human immunodeficiency virus type 1 (HIV-1) positive, antiretroviral naïve adults at least 18 years of age with \< 7 days of prior antiretroviral therapy.
* Subject...",Yes,2008-09-09,FDA-87311,2.62,0.32,5.0,7.94,2011-02-12,2011-06-09,2016-06-09,86,GSK,77,Senegal,33.33333333333334,34,9,10,73,67,7,45,2,2,1,True,True,False,True,False,False,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
lopinavir/ritonavir (LPV/r) (tablet or capsule) with nucleoside reverse transcriptase inhibitors (NRTIs),AltName A,Drug,hiv,hiv,Phase 3,2008-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria

* Subjects were human immunodeficiency virus type 1 (HIV-1) positive, antiretroviral naïve adults at least 18 years of age with \< 7 days of prior antiretroviral therapy.
* Subject...",No,2009-05-06,FDA-41786,2.62,0.32,5.0,7.94,2011-02-12,2011-06-09,2016-06-09,99,Merck,96,Overall,51.33333333333334,39,24,59,65,58,63,64,1,5,1,False,True,True,True,True,True,True,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
LPV/r,TradeName X,Drug,hiv,hiv,Phase 4,2007-01-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Age greater or equal to 18 years
* Diagnosis of HIV infection as previously established by HIV Enzyme-Linked Immunosorbent Assay (ELISA) test and confirmed by Western blot analy...",Yes,2007-06-13,FDA-84590,0.56,0.15,3.5,4.21,2007-07-24,2007-09-17,2011-03-18,87,Bayer,7,Overall,48.16666666666666,81,42,13,24,43,86,64,2,3,2,True,True,False,True,True,True,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Maraviroc,TradeName X,Drug,hiv,hiv,Phase 4,2014-04-11,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. HIV-1 infection
2. All available CD4+ T cell counts within the last 12 months of screening below 350 cells/mm3 (minimum of 3 values obtained \> 30 days apart).
3. HIV treatment...",Yes,2014-08-30,FDA-93262,0.56,0.15,3.5,4.21,2014-11-01,2014-12-26,2018-06-26,27,Novartis,61,Senegal,60.66666666666666,53,68,96,39,32,76,64,2,3,2,True,True,False,True,True,False,True,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Ganciclovir,Comp Beta,Drug,hiv,hiv,Phase 3,1995-03-01,Sex: ALL; Age: >18 Years; Criteria: inclusion criteria: Males and females eligible for the CRRT must have been age 18 years or older and have had AIDS and CMV retinitis. They must have had active CMV despite a minimum of 28 days of prev...,Yes,1995-08-25,FDA-97734,2.62,0.32,5.0,7.94,1997-10-12,1998-02-06,2003-02-07,82,J&J,29,Senegal,31.0,59,13,19,73,1,21,45,0,4,1,False,False,True,True,True,True,False,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Foscarnet,TradeName X,Drug,hiv,hiv,Phase 3,1995-03-01,Sex: ALL; Age: >18 Years; Criteria: inclusion criteria: Males and females eligible for the CRRT must have been age 18 years or older and have had AIDS and CMV retinitis. They must have had active CMV despite a minimum of 28 days of prev...,Yes,1995-05-18,FDA-88069,2.62,0.32,5.0,7.94,1997-10-12,1998-02-06,2003-02-07,15,Merck,16,Kenya,40.5,70,29,75,17,18,34,45,1,4,0,False,True,True,False,True,True,True,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Quadrivalent HPV Vaccine,Product Alpha,Biological,hiv,hiv,Phase 3,2016-01-01,"Sex: ALL; Age: >27 Years; Criteria: Inclusion Criteria:

* HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or chemiluminescence immunoassay (E/CIA) test kit at any time prior to study entry and confirmed by a li...",Yes,2016-02-14,FDA-91032,2.62,0.32,5.0,7.94,2018-08-14,2018-12-09,2023-12-10,65,Pfizer,67,Senegal,61.66666666666666,62,34,35,73,67,99,27,1,0,2,False,True,False,False,False,False,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Trivalent MRKAd5 HIV-1 gag/pol/nef (1.5x10^10 ad-vg/dose),AltName B,Biological,hiv,hiv,Phase 2,2009-09-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Healthy, HIV seronegative adults at high risk of acquiring HIV infection
* Cannot have previously received an investigational vaccine

Exclusion Criteria:

* In a monogamous rel...",No,2010-01-28,FDA-76010,4.41,0.98,21.0,26.39,2014-01-28,2015-01-21,2036-01-21,1,Sanofi,56,South Africa,29.16666666666667,18,19,12,61,15,50,45,2,1,2,True,True,False,False,False,True,False,False,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Raltegravir (MK-0518),GenName Y,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2017-09-13,FDA-15390,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,20,GSK,89,Kenya,61.83333333333334,35,95,41,20,95,85,36,1,2,1,True,False,True,False,False,True,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Nevirapine,Product Alpha,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2018-03-17,FDA-69218,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,49,AstraZeneca,33,Overall,54.0,0,82,86,5,70,81,36,1,1,2,True,False,False,True,False,False,False,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Lamivudine,Molecule Z,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2017-10-09,FDA-42630,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,89,J&J,44,Overall,58.5,42,28,40,67,90,84,36,1,0,3,True,False,False,False,False,False,False,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Tenofovir,Product Alpha,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",No,2017-08-31,FDA-48965,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,51,Bayer,43,Kenya,75.66666666666667,97,70,80,95,52,60,45,1,2,2,True,False,False,False,True,True,False,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Emtricitabine,AltName A,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",No,2017-10-19,FDA-71176,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,91,J&J,82,Senegal,54.66666666666666,70,49,7,95,37,70,27,0,2,1,False,False,False,True,False,False,True,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Lopinavir,GenName Y,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2017-10-25,FDA-92490,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,31,Pfizer,75,Senegal,56.83333333333334,51,82,98,35,1,74,36,0,1,3,False,False,True,False,False,False,False,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Ritonavir,TradeName X,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2018-05-05,FDA-63304,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,45,Sanofi,77,South Africa,51.33333333333334,9,86,31,26,94,62,73,2,3,3,True,True,True,False,True,False,True,True,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Atazanavir,AltName A,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2017-11-29,FDA-21660,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,11,Pfizer,67,Overall,61.16666666666666,57,98,71,27,69,45,55,1,3,2,False,True,True,True,False,True,False,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Darunavir,AltName A,Drug,hiv,hiv,Phase 2,2017-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male, or non-pregnant, non-breastfeeding female
* No previous history of virological failure
* No previous exposure to non-nucleoside reverse transcriptase inhibitors or integra...",Yes,2018-04-13,FDA-85124,4.41,0.98,21.0,26.39,2021-12-06,2022-11-29,2043-11-29,3,Pfizer,48,South Africa,35.0,65,50,25,18,25,27,45,2,2,1,True,True,True,True,False,False,False,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
GSK2248761,AltName B,Drug,hiv,hiv,Phase 2,2009-11-28,"Sex: ALL; Age: >21 Years; Criteria: Inclusion Criteria:

* Male or Female, 21 to 65 years of age.
* Female of non-childbearing potential defined as: being post-menopausal, defined as 12 months of spontaneous amenorrhea and having a seru...",Yes,2010-11-28,FDA-30141,4.41,0.98,21.0,26.39,2014-04-26,2015-04-19,2036-04-18,86,Gilead,89,Senegal,38.33333333333334,3,99,27,30,57,14,55,1,4,1,True,False,True,True,True,True,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Lopinavir/ritonavir,Comp Beta,Drug,hiv,hiv,Phase 2,2009-11-28,"Sex: ALL; Age: >21 Years; Criteria: Inclusion Criteria:

* Male or Female, 21 to 65 years of age.
* Female of non-childbearing potential defined as: being post-menopausal, defined as 12 months of spontaneous amenorrhea and having a seru...",No,2010-08-05,FDA-87065,4.41,0.98,21.0,26.39,2014-04-26,2015-04-19,2036-04-18,63,GSK,100,Senegal,41.33333333333334,31,45,74,55,21,22,55,1,4,1,False,True,True,True,False,True,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
HAART,TradeName X,Drug,hiv,hiv,Phase 2,2009-11-28,"Sex: ALL; Age: >21 Years; Criteria: Inclusion Criteria:

* Male or Female, 21 to 65 years of age.
* Female of non-childbearing potential defined as: being post-menopausal, defined as 12 months of spontaneous amenorrhea and having a seru...",Yes,2010-04-20,FDA-68565,4.41,0.98,21.0,26.39,2014-04-26,2015-04-19,2036-04-18,42,AstraZeneca,23,Overall,52.83333333333334,13,77,49,96,66,16,36,1,2,1,True,False,True,True,False,False,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
GSK2248761,Comp Beta,Drug,hiv,hiv,Phase 2,2009-11-28,"Sex: ALL; Age: >21 Years; Criteria: Inclusion Criteria:

* Male or Female, 21 to 65 years of age.
* Female of non-childbearing potential defined as: being post-menopausal, defined as 12 months of spontaneous amenorrhea and having a seru...",Yes,2010-01-15,FDA-32212,4.41,0.98,21.0,26.39,2014-04-26,2015-04-19,2036-04-18,84,Novartis,82,Senegal,54.16666666666666,73,84,48,54,32,34,36,0,1,3,False,False,True,False,False,False,False,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
