Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model
Albendazole,GenName Y,Drug,Malaria,Malaria,Phase 3,2015-12-01,"Sex: ALL; Criteria: Inclusion Criteria:

* Residence in the study site
* Able to understand the information and willing to give consent and assent (parent or guardian consent if study participant age is \< 18 years)

Exc...",Yes,2016-06-03,FDA-34352,2.62,0.32,5,7.94,2018-07-14,2018-11-08,2023-11-09,1,Sanofi,49,Kenya,47.66666667,54,23,31,93,17,68,55,2,3,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Monthly dihydroartemisinin-piperaquine (DP) + daily trimethoprim/sulfamethoxazole (TS),GenName Y,Drug,Malaria,Malaria,Phase 3,2016-05-26,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Intrauterine pregnancy confirmed by ultrasound
2. Estimated gestational age between 12-28 weeks
3. Confirmed to be HIV-infected by Uganda country standard rapid HIV test
4. 16 ...",Yes,2017-05-23,FDA-60977,2.62,0.32,5,7.94,2019-01-07,2019-05-04,2024-05-04,72,Sanofi,30,South Africa,55.66666667,18,38,26,94,74,84,64,1,3,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Monthly placebo + daily trimethoprim/sulfamethoxazole (TS),AltName A,Drug,Malaria,Malaria,Phase 3,2016-05-26,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Intrauterine pregnancy confirmed by ultrasound
2. Estimated gestational age between 12-28 weeks
3. Confirmed to be HIV-infected by Uganda country standard rapid HIV test
4. 16 ...",Yes,2017-04-02,FDA-54387,2.62,0.32,5,7.94,2019-01-07,2019-05-04,2024-05-04,74,J&J,17,Kenya,27.33333333,43,38,15,17,45,6,36,0,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
sulfadoxine-pyrimethamine,Product Alpha,Drug,Malaria,Malaria,Phase 3,2008-06-01,"Sex: ALL; Age: >8 Years; Criteria: Inclusion Criteria:

* Age ³ 8 to \< 14 years (boys), ³ 8 to \< 12 years (girls)
* Student enrolled at participating school in classes 3-7
* Provision of informed consent from parent or guardian
* Pro...",No,2009-05-02,FDA-10312,2.62,0.32,5,7.94,2011-01-13,2011-05-10,2016-05-10,65,J&J,23,South Africa,51,53,94,34,21,20,84,55,1,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
amodiaquine + sulfadoxine-pyrimethamine,GenName Y,Drug,Malaria,Malaria,Phase 3,2008-06-01,"Sex: ALL; Age: >8 Years; Criteria: Inclusion Criteria:

* Age ³ 8 to \< 14 years (boys), ³ 8 to \< 12 years (girls)
* Student enrolled at participating school in classes 3-7
* Provision of informed consent from parent or guardian
* Pro...",Yes,2009-04-07,FDA-56460,2.62,0.32,5,7.94,2011-01-13,2011-05-10,2016-05-10,61,Pfizer,95,Overall,40.33333333,0,52,29,1,65,95,64,1,3,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
dihydroartemisinin-piperaquine,TradeName X,Drug,Malaria,Malaria,Phase 3,2008-06-01,"Sex: ALL; Age: >8 Years; Criteria: Inclusion Criteria:

* Age ³ 8 to \< 14 years (boys), ³ 8 to \< 12 years (girls)
* Student enrolled at participating school in classes 3-7
* Provision of informed consent from parent or guardian
* Pro...",Yes,2009-04-09,FDA-39332,2.62,0.32,5,7.94,2011-01-13,2011-05-10,2016-05-10,22,AstraZeneca,45,Kenya,47,82,87,2,34,52,25,55,1,3,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Artemether-lumefantrine (COA566),TradeName X,Drug,Malaria,Malaria,Phase 3,2014-07-01,"Sex: ALL; Criteria: Inclusion Criteria:

* Neonates / infants
* Body weight \< 5 kg
* In cohort 1, infants aged \> 28 days; in cohort 2, neonates of a term age 0 to ² 28 days
* Microscopically confirmed diagnosis of acut...",No,2015-01-09,FDA-30952,2.62,0.32,5,7.94,2017-02-11,2017-06-08,2022-06-09,7,AstraZeneca,87,Overall,48.33333333,38,95,88,12,42,15,82,1,4,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Hydroxyurea,Molecule Z,Drug,Malaria,Malaria,Phase 3,2017-11-01,"Sex: ALL; Age: >12 Months; Criteria: Inclusion Criteria:

* Pediatric subjects with documented sickle cell anemia (HbSS supported by hemoglobin electrophoresis or by peripheral blood smear showing sickled red blood cells)
* Age range of ...",No,2018-05-29,FDA-92542,2.62,0.32,5,7.94,2020-06-14,2020-10-09,2025-10-10,37,Sanofi,72,Overall,59.16666667,98,97,2,51,12,95,64,2,2,3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Azithromycin plus chloroquine,GenName Y,Drug,Malaria,Malaria,Phase 3,2013-11-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

* Pregnant women (all gravidae) with ³14 and ²26 weeks of gestational age (by ultrasound).
* Evidence of a personally signed and dated informed consent/assent document. Assent wil...",Yes,2014-07-21,FDA-91151,2.62,0.32,5,7.94,2016-06-14,2016-10-09,2021-10-10,8,Pfizer,90,South Africa,48,16,36,40,61,72,63,45,1,3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
ACT,Comp Beta,Drug,Malaria,Malaria,Phase 3,2020-03-04,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Male or female, aged from 2 years to 65 years old
* Acute uncomplicated P. falciparum malaria, confirmed by positive blood smear with asexual forms of P. falciparum (or mixed wi...",No,2020-06-19,FDA-15137,2.62,0.32,5,7.94,2022-10-16,2023-02-10,2028-02-11,86,Gilead,78,Overall,54.83333333,47,49,59,59,54,61,36,1,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Lamivudine,Product Alpha,Drug,Malaria,Malaria,Phase 3,2013-07-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Age \> 16 years (if \<18 years old, living independently from parents)
2. Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Western blot, ...",Yes,2013-12-27,FDA-60226,2.62,0.32,5,7.94,2016-02-12,2016-06-08,2021-06-09,5,Gilead,84,Senegal,30.5,46,34,9,4,16,74,45,1,3,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Zidovudine,Comp Beta,Drug,Malaria,Malaria,Phase 3,2013-07-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Age \> 16 years (if \<18 years old, living independently from parents)
2. Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Western blot, ...",Yes,2014-04-28,FDA-88082,2.62,0.32,5,7.94,2016-02-12,2016-06-08,2021-06-09,24,Gilead,51,Senegal,31.5,13,60,46,7,31,32,36,1,2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
sulfadoxine-pyrimethamine (SP),Molecule Z,Drug,Malaria,Malaria,Phase 3,2014-04-01,"Sex: ALL; Age: >4 Months; Criteria: Inclusion Criteria:

1. Age 4 -5 months
2. Confirmed HIV status of biological mother
3. Negative HIV DNA PCR test at time of enrollment for infants born to HIV-infected mothers
4. Infants born to HIV-...",Yes,2014-05-21,FDA-21710,2.62,0.32,5,7.94,2016-11-12,2017-03-09,2022-03-10,77,Bayer,92,South Africa,66.66666667,96,21,68,92,97,26,45,2,3,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ACT plus PQ (Rescue medication),AltName B,Drug,Malaria,Malaria,Phase 3,2019-08-19,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Male subjects \>=18 years at the time of signing the informed consent.
* The subject has a positive Giemsa smear for P. vivax (mixed infection with P.falciparum is acceptable).
...",No,2020-01-28,FDA-47535,2.62,0.32,5,7.94,2022-04-01,2022-07-27,2027-07-28,26,Sanofi,47,Kenya,56.83333333,41,10,78,93,89,30,36,2,2,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PQ (End of study treatment),Molecule Z,Drug,Malaria,Malaria,Phase 3,2019-08-19,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Male subjects \>=18 years at the time of signing the informed consent.
* The subject has a positive Giemsa smear for P. vivax (mixed infection with P.falciparum is acceptable).
...",No,2020-06-11,FDA-19603,2.62,0.32,5,7.94,2022-04-01,2022-07-27,2027-07-28,25,J&J,5,Senegal,26,8,52,13,11,67,5,64,2,3,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Hypertonic saline,TradeName X,Drug,Malaria,Malaria,Phase 3,2023-12-31,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Peripheral P. falciparum parasitemia of any density
* Blantyre Coma Score ²2
* No evidence of meningitis on lumbar puncture
* Consciousness not regained after correction of hypo...",No,2024-05-01,FDA-85878,2.62,0.32,5,7.94,2026-08-13,2026-12-08,2031-12-09,39,Novartis,52,Kenya,64.33333333,26,30,57,97,85,91,64,1,4,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Tafenoquine Placebo,Product Alpha,Drug,Malaria,Malaria,Phase 3,2016-11-04,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria:

* A female is eligible to enter and participate in the study if she is non-pregnant, nonlactating and if she is of: a. Non-childbearing potential defined as: post-menopausal (12 m...",No,2017-09-26,FDA-68271,2.62,0.32,5,7.94,2019-06-18,2019-10-13,2024-10-13,59,Pfizer,6,Kenya,39.66666667,23,0,59,33,58,65,45,1,3,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Primaquine Placebo,AltName B,Drug,Malaria,Malaria,Phase 3,2016-11-04,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria:

* A female is eligible to enter and participate in the study if she is non-pregnant, nonlactating and if she is of: a. Non-childbearing potential defined as: post-menopausal (12 m...",Yes,2017-03-29,FDA-54664,2.62,0.32,5,7.94,2019-06-18,2019-10-13,2024-10-13,66,Novartis,79,South Africa,49.5,22,69,39,37,37,93,55,2,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Efavirenz,Comp Beta,Drug,Malaria,Malaria,Phase 3,2013-07-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Age \> 16 years (if \<18 years old, living independently from parents)
2. Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Western blot, ...",No,2014-04-23,FDA-58574,2.62,0.32,5,7.94,2016-02-12,2016-06-08,2021-06-09,90,GSK,68,Senegal,30,77,4,12,5,64,18,64,2,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Azithromycin plus Chloroquine,AltName A,Drug,Malaria,Malaria,Phase 3,2010-09-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Girls and boys ³5 years to ²12 years (Cohort 1); and ³6 to ²59 months of age (Cohort 2) with uncomplicated, symptomatic malaria as indicated by the presence of the following:
* ...",Yes,2011-08-18,FDA-30392,2.62,0.32,5,7.94,2013-04-14,2013-08-09,2018-08-10,30,Pfizer,60,South Africa,47.16666667,96,90,1,28,59,9,45,1,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Mefloquine plus artesunate,TradeName X,Drug,Malaria,Malaria,Phase 3,2008-12-01,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* Male or female patients between the ages of 3 and 60 years, inclusive.
* Body weight between 20 kg and 90 kg with no clinical evidence of severe malnutrition.
* Presence of acut...",No,2009-04-19,FDA-63859,2.62,0.32,5,7.94,2011-07-15,2011-11-09,2016-11-09,72,Novartis,72,Kenya,65.16666667,30,80,84,71,59,67,45,0,2,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1. Artemether-Lumefantrine (AL),GenName Y,Drug,Malaria,Malaria,Phase 3,2009-07-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion criteria:

* children aged 6-120 months;
* axillary temperature ³ 37.5¡C and/or history of fever within past 24 hours;
* P. falciparum asexual parasitemia between 1000 and 100000/µl;
* abili...",No,2010-02-06,FDA-63639,2.62,0.32,5,7.94,2012-02-12,2012-06-08,2017-06-09,3,Merck,73,Kenya,30.33333333,60,22,31,33,22,14,18,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2. Amodiaquine-Artesunate (AQ-AS),AltName B,Drug,Malaria,Malaria,Phase 3,2009-07-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion criteria:

* children aged 6-120 months;
* axillary temperature ³ 37.5¡C and/or history of fever within past 24 hours;
* P. falciparum asexual parasitemia between 1000 and 100000/µl;
* abili...",No,2009-08-28,FDA-68265,2.62,0.32,5,7.94,2012-02-12,2012-06-08,2017-06-09,34,Pfizer,64,South Africa,32,1,41,28,41,76,5,64,0,5,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Lopinavir/ritonavir,Product Alpha,Drug,Malaria,Malaria,Phase 3,2013-07-01,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Age \> 16 years (if \<18 years old, living independently from parents)
2. Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Western blot, ...",No,2013-10-10,FDA-91977,2.62,0.32,5,7.94,2016-02-12,2016-06-08,2021-06-09,1,GSK,62,South Africa,37.66666667,59,9,59,29,50,20,45,1,2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
dihydroartemisinin-piperaquine (DP),Product Alpha,Drug,Malaria,Malaria,Phase 3,2014-04-01,"Sex: ALL; Age: >4 Months; Criteria: Inclusion Criteria:

1. Age 4 -5 months
2. Confirmed HIV status of biological mother
3. Negative HIV DNA PCR test at time of enrollment for infants born to HIV-infected mothers
4. Infants born to HIV-...",No,2014-06-28,FDA-88856,2.62,0.32,5,7.94,2016-11-12,2017-03-09,2022-03-10,40,Bayer,11,South Africa,60.83333333,66,51,27,97,49,75,55,1,3,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
trimethoprim-sulfamethoxazole (TS; TMP/SMX),Molecule Z,Drug,Malaria,Malaria,Phase 3,2014-04-01,"Sex: ALL; Age: >4 Months; Criteria: Inclusion Criteria:

1. Age 4 -5 months
2. Confirmed HIV status of biological mother
3. Negative HIV DNA PCR test at time of enrollment for infants born to HIV-infected mothers
4. Infants born to HIV-...",Yes,2015-01-30,FDA-18462,2.62,0.32,5,7.94,2016-11-12,2017-03-09,2022-03-10,89,Bayer,0,South Africa,22.66666667,31,8,30,0,13,54,64,1,3,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
3 dose dihydroartemisinin-piperaquine (DP) for adult women during pregnancy,Molecule Z,Drug,Malaria,Malaria,Phase 3,2018-05-14,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV uninfected ...",Yes,2018-06-14,FDA-60623,2.62,0.32,5,7.94,2020-12-25,2021-04-21,2026-04-22,98,GSK,92,Overall,55,97,73,38,26,91,5,45,1,3,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Human Diploid Cell Vaccine (HDCV) or Purified Vero Cell Rabies Vaccine (PVRV, Verorab) (Aventis Pasteur);",GenName Y,Biological,Malaria,Malaria,Phase 3,2013-05-24,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant or child between and including 6 weeks to 17 months of age, at the time of first va...",No,2013-09-09,FDA-67084,2.62,0.32,5,7.94,2016-01-05,2016-05-01,2021-05-02,18,Sanofi,73,Overall,35.16666667,15,42,38,81,1,34,55,2,3,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Purified Chick Embryo Cell Culture (PCEC) Rabies Vaccine (Rabipur or equivalent) (Novartis).,TradeName X,Biological,Malaria,Malaria,Phase 3,2013-05-24,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant or child between and including 6 weeks to 17 months of age, at the time of first va...",No,2014-01-28,FDA-90245,2.62,0.32,5,7.94,2016-01-05,2016-05-01,2021-05-02,33,Novartis,1,Kenya,57.83333333,25,17,60,86,72,87,55,1,3,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
GSK Biologicals' candidate Plasmodium falciparum malaria vaccine (257049),Product Alpha,Biological,Malaria,Malaria,Phase 3,2012-05-04,"Sex: ALL; Age: >5 Months; Criteria: Inclusion Criteria:

* Subjects who the investigator believes that their parent(s)/Legally Acceptable Representative(s) (LAR) can and will comply with the requirements of the protocol.
* A male or fem...",No,2012-10-13,FDA-86252,2.62,0.32,5,7.94,2014-12-16,2015-04-12,2020-04-12,79,J&J,75,Senegal,59,8,78,66,85,61,56,73,0,5,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Monthly Dihydroartemisinin-Piperaquine (DP) During Pregnancy,Comp Beta,Drug,Malaria,Malaria,Phase 3,2018-12-04,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

* Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
* Estimated gestational age between 12-20 weeks
* Confirmed to be HIV uninfected by ...",No,2019-03-12,FDA-49165,2.62,0.32,5,7.94,2021-07-17,2021-11-11,2026-11-12,62,GSK,70,Kenya,60.33333333,31,37,96,67,44,87,36,0,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Artesunate,Molecule Z,Drug,Malaria,Malaria,Phase 3,2012-09-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Subjects aged greater than or equal to 6 months to 5 years presenting to Ndirande Health Centre with signs or symptoms consistent with malaria including, but not limited to, one...",No,2013-05-12,FDA-83742,2.62,0.32,5,7.94,2015-04-15,2015-08-10,2020-08-10,50,Gilead,89,Senegal,32.66666667,20,39,25,15,57,40,55,0,4,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
GlaxoSmithKline (GSK) Biologicals' candidate Plasmodium falciparum malaria vaccine 257049,TradeName X,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",Yes,2017-06-15,FDA-59597,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,71,AstraZeneca,38,South Africa,46.66666667,90,60,56,29,36,9,55,0,4,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Engerix-Bª vaccine,GenName Y,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",No,2018-02-08,FDA-55053,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,57,Sanofi,93,Overall,61.5,81,52,73,43,41,79,45,0,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Infanrix/Hibª vaccine,Product Alpha,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",Yes,2017-06-28,FDA-79141,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,95,Merck,95,Kenya,35.66666667,29,35,26,35,3,86,64,2,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Polio Sabinª vaccine,TradeName X,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",No,2017-07-10,FDA-22671,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,20,Bayer,27,Senegal,58.5,69,88,38,24,82,50,55,1,3,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Rotarixª vaccine,AltName B,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",No,2017-05-09,FDA-86276,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,38,Pfizer,15,Senegal,43.33333333,5,21,78,88,1,67,45,1,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Synflorixª vaccine,Comp Beta,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",No,2017-10-16,FDA-17826,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,1,Bayer,99,Kenya,34.5,9,28,55,17,86,12,55,2,3,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Measles vaccine,Product Alpha,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",Yes,2017-09-19,FDA-11426,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,19,J&J,8,Kenya,48.5,81,49,22,18,36,85,36,1,2,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Yellow fever vaccine,TradeName X,Biological,Malaria,Malaria,Phase 3,2017-02-09,"Sex: ALL; Age: >8 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant aged between 8 and 12 weeks inclusive at the time of first vaccination
* Signed or ...",Yes,2017-04-13,FDA-53500,2.62,0.32,5,7.94,2019-09-23,2020-01-18,2025-01-18,9,AstraZeneca,36,Senegal,53.5,62,72,39,73,33,42,91,1,5,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GSK Biological's Investigational Malaria Vaccine 257049,AltName B,Biological,Malaria,Malaria,Phase 3,2013-05-24,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy ALL the following criteria at study entry:

* A male or female infant or child between and including 6 weeks to 17 months of age, at the time of first va...",Yes,2013-09-09,FDA-94435,2.62,0.32,5,7.94,2016-01-05,2016-05-01,2021-05-02,100,Merck,29,Senegal,46.5,53,26,95,10,2,93,73,2,4,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Placebo oral tablet,Molecule Z,Drug,Malaria,Malaria,Phase 3,2024-08-01,"Sex: ALL; Criteria: Inclusion Criteria (for being enrolled in the study):

* Residence in selected study village
* Able to understand the information and willing to give consent or assent (age 12-18) and parent/guardian ...",Yes,2025-07-09,FDA-30551,2.62,0.32,5,7.94,2027-03-15,2027-07-10,2032-07-10,22,J&J,71,Overall,57,69,17,52,60,61,83,55,2,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sulfadoxine-pyrimethamine,Comp Beta,Drug,Malaria,Malaria,Phase 3,2015-01-01,"Sex: FEMALE; Criteria: Inclusion Criteria:

Women who present to the Ndirande Antenatal Clinic (ANC) and meet the following inclusion criteria will be enrolled in the study: -Before the end of 27th week of gestation -First ...",Yes,2015-09-19,FDA-24425,2.62,0.32,5,7.94,2017-08-14,2017-12-09,2022-12-10,41,GSK,27,Kenya,66,24,86,96,76,47,67,27,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Malaria Vaccine 257049 (MALARIA-055 PRI),AltName A,Biological,Malaria,Malaria,Phase 3,2017-01-31,"Sex: ALL; Age: >42 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/ Legally Acceptable Representative (LARs) who, in the opinion of the investigator, can and will comply with the requirements of the protocol.
* Subjects who ...",No,2017-07-24,FDA-21618,2.62,0.32,5,7.94,2019-09-14,2020-01-09,2025-01-09,83,Sanofi,75,Kenya,30.5,28,43,71,31,2,8,45,1,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Meningococcal C Conjugate Vaccine (MALARIA-055 PRI),Product Alpha,Biological,Malaria,Malaria,Phase 3,2017-01-31,"Sex: ALL; Age: >42 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/ Legally Acceptable Representative (LARs) who, in the opinion of the investigator, can and will comply with the requirements of the protocol.
* Subjects who ...",Yes,2017-10-30,FDA-11988,2.62,0.32,5,7.94,2019-09-14,2020-01-09,2025-01-09,80,Sanofi,36,South Africa,41.83333333,2,76,72,36,15,50,55,2,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
