innovation,alternative_names,category,technology,disease,target_population,indication,archetype,trial_status,Other_trial_status,date_trial_status,Other_trial_dates,nra_Kenya,nra_Senegal,nra_South_Africa,eml_Kenya,eml_Senegal,eml_South_Africa,nra_other_status,nra_other_date,nra_other_body,nra_note,gra,gra_date,gra_body,gra_note,eml_date,eml_country,eml_note,manufacturer,dalys,disease_prevalence,other_targeted_population,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,...55,data_source,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,country,nra,eml,readiness,financing,impact_potential,introduction_readiness
BIOCREDIT Malaria Ag Pf/Pv (HRPII/pLDH),NA,Diagnostic,NA,Malaria,adult malaria,Indicated to diagnose P. falciparum and P. vivax infection,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RapiGEN Inc.,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,52.70303252735175,83.96082127280533
BIOCREDIT Malaria Ag Pf/Pv (pLDH/pLDH),NA,Diagnostic,NA,Malaria,adult malaria,Indicated for the diagnosis of P. falciparum or P.vivax infection where more than 5% of cases would be missed with HRP2 detection alone due to the prevalence of Pf HRP2/3 deletions in symptomatic patients.,New Chemical Entity — Simple,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RapiGEN Inc.,20000000,210000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,32.44723142590374,87.49354648124427
Bioline HIV-1/2 3.0,NA,Diagnostic,NA,HIV,all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age.",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,88.46340756048448,26.703345655463636
Bioline HIV/Syphilis Duo,NA,Diagnostic,NA,HIV,all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,74.68704610713758,58.53434056323022
Bioline Malaria Ag P.f,NA,Diagnostic,NA,Malaria,adult malaria,Indicated to diagnose P. falciparum infection,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010-12-06,WHO_PQ,NA,NA,NA,NA,Abbott Laboratories,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-12-06,2011-04-02,2016-04-01,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Senegal,No,No,NA,NA,81.54063261928968,61.27668761834502
Bioline Malaria Ag P.f (HRP2/pLDH),NA,Diagnostic,NA,Malaria,adult malaria,Indicated to diagnose P. falciparum infection,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015-10-16,WHO_PQ,NA,NA,NA,NA,Abbott Laboratories,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-16,2016-02-10,2021-02-09,NA,https://zflongkema.com,2.62,0.32,5,Kenya,No,No,NA,NA,46.048602749360725,32.542280750349164
Bioline Malaria Ag P.f/P.f/P.v,NA,Diagnostic,NA,Malaria,adult malaria,"To diagnose one or more human malaria parasite species (P. falciparum, P. vivax, P. malariae, P. ovale)",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018-12-05,WHO_PQ,NA,NA,NA,NA,Abbott Laboratories,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-05,2019-04-01,2024-03-31,NA,"https://www.impactglobalhealth.org/data/infectious-disease
https://lapal.medicinespatentpool.org/formulations/cab-la-cabotegravir-2-monthly#information",2.62,0.32,5,South Africa,No,No,NA,NA,79.44947163225152,69.13779011834413
Bioline Malaria Ag P.f/P.v,NA,Diagnostic,NA,Malaria,adult malaria,"To diagnose one or more human malaria parasite species (P. falciparum, P. vivax, P. malariae, P. ovale)",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015-10-16,WHO_PQ,NA,NA,NA,NA,Abbott Laboratories,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-16,2016-02-10,2021-02-09,NA,NA,2.62,0.32,5,Senegal,No,No,NA,NA,97.73282303707674,23.252139830961823
Bioline Malaria Ag P.f/Pan,NA,Diagnostic,NA,Malaria,adult malaria,"To diagnose one or more human malaria parasite species (P. falciparum, P. vivax, P. malariae, P. ovale)",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013-07-08,WHO_PQ,NA,NA,NA,NA,Abbott Laboratories,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,2013-11-02,2018-11-02,NA,https://public.tableau.com/app/profile/policy.cures.research/viz/AIMMaternalHealthPortal2023/AIMdatabase,2.62,0.32,5,Kenya,No,No,NA,NA,71.91515014390461,48.99800863303244
BioPlex 2200 HIV Ag-Ab Assay,NA,Diagnostic,NA,HIV,all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,26.97391190333292,65.34215616807342
Bistar 10WP,NA,VCPs,NA,Malaria,all ages malaria,"Prevention and control of malaria in children and adults living in areas with ongoing malaria transmission.
WHO policy: strong recommendation, low certainty evidence",New Chemical Entity — Simple,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018-01-29,WHO_PQ,NA,NA,NA,NA,FMC Corporation,55000000,250000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-29,2018-05-26,2023-05-26,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Senegal,No,No,NA,NA,88.60170662170276,56.98159920331091
Bloomlife Connects,NA,Diagnostic,NA,MNCH,pregnancy,Preterm labour/birth (PTL/PTB),Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,No,No,NA,NA,64.99760015984066,30.805019752122462
BNT164A1,NA,Vaccine,NA,Tuberculosis,adult TB,Prevention of tuberculosis,Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://tauns.co.jp,NA,NA,NA,South Africa,No,No,NA,NA,87.16116499039344,25.41742238216102
BNT164B1,NA,Vaccine,NA,Tuberculosis,adult TB,Prevention of tuberculosis,Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,47.86418245523237,41.28300628438592
Bosphore Malaria Detection Kit v1,NA,Diagnostic,NA,Malaria,adult malaria,"Indicated for the diagnosis of P. falciparum, P. vivax and other malarial strain infections",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,50.38702406804077,75.32812091335654
Bosphore Malaria Detection Kit v2,NA,Diagnostic,NA,Malaria,adult malaria,"Indicated for the diagnosis of P. falciparum, P. vivax and other malarial strain infections",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,49.23054771265015,78.10377135686576
Bosphore Malaria Genotyping Kit v1,NA,Diagnostic,NA,Malaria,adult malaria,"Indicated for the diagnosis of P. falciparum, P. vivax and other malarial strain infections",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,48.97089802660048,17.449378482066095
Bosphore Tropical Fever Panel Kit v1,NA,Therapeutic,NA,Malaria,adult malaria,"Indicated for the diagnosis of P. falciparum, P. vivax and other malarial strain infections",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,28.430964440340176,84.77678164001554
Bosphore Tropical Fever Panel Kit v2,NA,Therapeutic,NA,Malaria,adult malaria,"Indicated for the diagnosis of P. falciparum, P. vivax and other malarial strain infections",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,64.46956525440328,90.52774082124233
C-TST,NA,Diagnostic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDD;WHO recommended,NA,NA,NA,NA,Anhui Zhifei Longcom Biopharmaceutical Co. Ltd.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,21.75517964991741,90.94943091645837
CAB-LA (600mg/3mL vials),NA,Therapeutic,NA,HIV,adult HIV,Pre-exposure prophylaxis (PrEP) and the treatment of individuals infected with HIV,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Africa
Israel
Botswana
Thailand
Mexico
United Arab Emirates
South Africa
Botswana
United Kingdom
Taiwan, Province of China
Taiwan, Province of China
Switzerland
Switzerland
Sweden
Spain
Slovenia
Slovakia
Romania
Cyprus
Portugal
Poland
Norway
Netherlands
Malta
Luxembourg
Lithuania
Liechtenstein
Latvia
Italy
Ireland
Iceland
Hungary
Greece
Germany
France
Finland
Estonia
Denmark
Czechia
Croatia
Bulgaria
Belgium
Austria
Sweden
Spain
Slovenia
Slovakia
Romania
Cyprus
Portugal
Poland
Norway
Netherlands
Malta
Luxembourg
Lithuania
Liechtenstein
Latvia
Italy
Ireland
Iceland
Hungary
Greece
Germany
France
Finland
Estonia
Denmark
Czechia
Croatia
Bulgaria
Belgium
Austria
Chile
Russian Federation
Colombia
Chile
Korea, Republic of
Singapore
Brazil
Singapore
Singapore
Brazil
Hong Kong
Japan
China
Argentina",2020-2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,39400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,87.72564599639736,95.80435922555625
Cabergoline,NA,Therapeutic,NA,MNCH,pregnancy,"Treatment of Polycystic ovararian Syndrom (PCOS), Endometriosis, and Uterine ﬁbroids",Unclassified / Insufficient information,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pﬁzer; Kissei Pharmaceutical Co., Ltd. Kissei Pharmaceutical Co., Ltd.; Pﬁzer; Aborih, Kissei Pharmaceutical Co., Ltd.; Iran University",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,72.2811186988838,78.80236818175763
Calcium,NA,Therapeutic,NA,MNCH,pregnancy,Prevention of Pre-eclampsia/Eclampsia,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,77.826204732991755,90.17044252622873
"Calcium, aspirin, and multiple micronutrients (CAMMS)",NA,Therapeutic,NA,MNCH,pregnancy,Preterm labour/birth (PTL/PTB),Unclassified / Insufficient information,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,92.31445252429694,16.353643785230815
Calibrated drapes,NA,Therapeutics,NA,MNCH,pregnancy,Prevention and Management of Postpartum hemorrhage,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://public.tableau.com/app/profile/policy.cures.research/viz/AIMMaternalHealthPortal2023/AIMdatabase,NA,NA,NA,South Africa,No,No,NA,NA,96.11438627238385,25.9878544928506
Cambridge Biotech HIV-1 Urine Western Blot Kit,NA,Diagnostic,NA,HIV,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,55.197296051774174,76.6838373746723
CAPELLA,NA,Therapeutic,NA,HIV,adult HIV,a failing regimen (functional monotherapy) in people living with HIV (PLWH) with multi-drug resistance (MDR).,New Chemical Entity — Simple,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gilead,25000000,39400000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,29.121268648887053,13.715949733741581
Capilia  TB-Neo,NA,Diagnostic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDD;WHO recommended,NA,NA,NA,NA,"TAUNS Laboratories, Inc.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,63.18296674173325,75.98375073634088
Captopril,NA,Therapeutic,NA,MNCH,pregnancy,Preeclampsia/eclampsia (PE/E),Unclassified / Insufficient information,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Perrigo (Previously Elan Corporation); Provec,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,17.222506777616218,54.13610039930791
Carbetocin,Carbetocin,Therapeutics,NA,MNCH,pregnancy,Postpartum haemorrhage (PPH),Unclassified / Insufficient information,Phase 4 / Post-marketing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2022-07-04,WHO_PQ,WHO PQ (7/4/2022),NA,NA,NA,Ferring Pharmaceuticals,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-04,2022-10-29,2027-10-29,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Kenya,No,No,NA,NA,69.11663654958829,25.37706350721419
Carbetocin,Carbetocin - heat-stable (HSC),Therapeutics,NA,MNCH,pregnancy,Postpartum haemorrhage (PPH),Unclassified / Insufficient information,Phase 4 / Post-marketing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHO: Special Programme of Research, Develo",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,95.80555754713714,95.44548926781863
Carboprost,NA,Therapeutics,NA,MNCH,pregnancy,Postpartum haemorrhage (PPH),Unclassified / Insufficient information,Phase 4 / Post-marketing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDA_US,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Liverpool,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,85.20747247268446,14.428048580884933
Care Start G6PD Biosensor Analyser,NA,Diagnostic,NA,Malaria,adult malaria,"To determine G6PD activity (precise measure of activity in terms of units of enzyme activity) for a decision to administer oxidant drugs,( e.g. 8-aminoquinoline) for radical cure of P. vivax malaria",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Access Bio; SD Biosensor, Inc.",20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,36.39805854065344,62.19799466431141
CareStart G6PD screening Test,NA,Diagnostic,NA,Malaria,adult malaria,"To determine G6PD activity (normal, intermediate, deficient) for a decision to administer oxidant drugs,( e.g. 8-aminoquinoline) for radical cure of P. vivax malaria.",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Access Bio,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,91.8018651753664,47.08949790708721
CareStart Malaria HRP2/pLDH (Pf/Pv) COMBO,NA,Diagnostic,NA,Malaria,adult malaria,"To diagnose one or more human malaria parasite species (P. falciparum, P. vivax, P. malariae, P. ovale)",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015-05-28,WHO_PQ,NA,NA,NA,NA,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-05-28,2015-09-22,2020-09-21,NA,https://cowingene.com,2.62,0.32,5,Senegal,No,No,NA,NA,36.239827767712995,86.7305435007438
CareStart Malaria PAN (pLDH),NA,Diagnostic,NA,Malaria,adult malaria,"To diagnose one or more human malaria parasite species (P. falciparum, P. vivax, P. malariae, P. ovale)",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018-06-28,WHO_PQ,NA,NA,NA,NA,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-28,2018-10-23,2023-10-23,NA,NA,2.62,0.32,5,Kenya,No,No,NA,NA,97.21646043239161,70.23554239515215
CareUS Malaria HRP2/pLDH (Pf/PAN) COMBO,NA,Diagnostic,NA,Malaria,adult malaria,"To diagnose one or more human malaria parasite species (P. falciparum, P. vivax, P. malariae, P. ovale)",Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018-06-28,WHO_PQ,NA,NA,NA,NA,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-28,2018-10-23,2023-10-23,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,South Africa,No,No,NA,NA,33.11928816256113,93.3771892003715
CD 388,NA,Therapeutic,NA,HIV,all ages HIV,Pre-Exposure Prophylaxis (PrEP) and Prevention of influenza virus,Unclassified / Insufficient information,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cidara Therapeutics,33000000,40800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,80.71727025788277,25.368156544864178
Celecoxib,NA,Therapeutics,NA,MNCH,pregnancy,Treatment of Preeclampsia/eclampsia (PE/E) and Preterm labour/birth (PTL/PTB),Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pﬁzer; Astellas Pharma; MedinCell; Teva Phar,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,69.4829118589405,45.74417045712471
Cerebroplacental ratio (CPR),NA,Diagnostic,NA,MNCH,pregnancy,Intrauterine growth restriction (IUGR),Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,37.58519564871676,63.59738780092448
CHADOX1.85A+MVA85A,NA,Vaccine,NA,Tuberculosis,adult TB,Prevention of tuberculosis,Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,69.71778635983355,18.76165262889117
CheckNOW HIV SELF TEST,NA,Diagnostic,NA,HIV,adult HIV,For HIV self-testing to aid in the diagnosis of HIV infection,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,39400000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://avac.org/trial/mtn-023-ipm-030/
https://www.clinicaltrials.gov/study/NCT02028338",NA,NA,NA,Kenya,No,No,NA,NA,35.408549995627254,48.29624685179442
